년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2016/12/29,"44,700","-650","1,808,856","81,023,763,700","45,150","45,200","44,600","32,541,706","728,002,365"
2016/12/28,"45,350","-300","1,296,254","58,862,600,300","45,350","45,750","45,100","33,014,907","728,002,365"
2016/12/27,"45,650","0","1,175,619","53,721,001,850","45,550","45,950","45,400","33,233,308","728,002,365"
2016/12/26,"45,650","-650","1,603,230","73,414,513,200","46,200","46,600","45,250","33,233,308","728,002,365"
2016/12/23,"46,300","800","2,982,024","137,862,626,550","46,200","46,400","45,950","33,706,509","728,002,365"
2016/12/22,"45,500","500","4,045,912","185,843,972,475","46,000","46,650","45,150","33,124,108","728,002,365"
2016/12/21,"45,000","-150","1,662,010","75,459,948,900","45,500","45,750","45,000","32,760,106","728,002,365"
2016/12/20,"45,150","0","1,110,753","50,221,438,750","45,400","45,550","44,950","32,869,307","728,002,365"
2016/12/19,"45,150","-1,250","1,997,194","90,996,663,400","46,250","46,300","45,050","32,869,307","728,002,365"
2016/12/16,"46,400","800","2,100,809","97,050,029,200","45,800","46,450","45,700","33,779,310","728,002,365"
2016/12/15,"45,600","-250","1,828,843","83,216,786,950","45,850","46,050","45,000","33,196,908","728,002,365"
2016/12/14,"45,850","900","2,010,708","92,037,836,750","45,350","46,100","45,350","33,378,908","728,002,365"
2016/12/13,"44,950","-350","1,822,952","82,213,098,100","44,700","45,700","44,700","32,723,706","728,002,365"
2016/12/12,"45,300","-200","1,440,589","65,348,111,732","45,750","45,850","44,850","32,978,507","728,002,365"
2016/12/09,"45,500","-750","3,003,326","137,771,228,250","46,450","46,750","45,450","33,124,108","728,002,365"
2016/12/08,"46,250","1,000","3,313,157","153,631,267,750","46,200","46,650","46,100","33,670,109","728,002,365"
2016/12/07,"45,250","50","1,984,369","90,333,482,150","45,750","45,800","45,200","32,942,107","728,002,365"
2016/12/06,"45,200","800","3,099,065","140,049,383,300","44,700","45,500","44,600","32,905,707","728,002,365"
2016/12/05,"44,400","0","1,703,219","75,593,954,350","44,050","44,600","43,800","32,323,305","728,002,365"
2016/12/02,"44,400","200","4,244,113","186,230,428,125","43,350","44,500","43,300","32,323,305","728,002,365"
2016/12/01,"44,200","1,300","3,491,185","153,722,631,725","43,000","44,400","43,000","32,177,705","728,002,365"
2016/11/30,"42,900","500","4,325,524","187,137,509,500","42,900","43,800","42,650","31,231,301","728,002,365"
2016/11/29,"42,400","-200","1,777,480","75,305,517,050","42,400","43,100","41,800","30,867,300","728,002,365"
2016/11/28,"42,600","0","1,513,215","64,737,740,000","42,400","43,250","42,100","31,012,901","728,002,365"
2016/11/25,"42,600","-50","1,328,958","56,728,069,750","43,050","43,300","42,250","31,012,901","728,002,365"
2016/11/24,"42,650","-400","1,789,745","77,021,409,850","43,350","43,850","42,500","31,049,301","728,002,365"
2016/11/23,"43,050","350","4,047,443","175,818,207,261","43,000","43,900","42,550","31,340,502","728,002,365"
2016/11/22,"42,700","1,950","3,306,186","139,712,335,100","41,250","42,800","41,200","31,085,701","728,002,365"
2016/11/21,"40,750","-1,250","1,883,627","77,739,121,450","41,800","41,900","40,650","29,666,096","728,002,365"
2016/11/18,"42,000","100","3,331,134","139,965,314,970","42,300","42,400","41,700","30,576,099","728,002,365"
2016/11/17,"41,900","1,050","2,383,464","99,048,794,650","41,500","41,900","41,200","30,503,299","728,002,365"
2016/11/16,"40,850","1,150","2,101,878","85,707,647,250","40,450","41,000","40,250","29,738,897","728,002,365"
2016/11/15,"39,700","0","2,030,086","81,122,979,200","39,700","40,400","39,500","28,901,694","728,002,365"
2016/11/14,"39,700","-150","1,589,911","63,439,707,050","40,000","40,450","39,700","28,901,694","728,002,365"
2016/11/11,"39,850","-1,150","2,962,651","118,380,603,300","40,000","40,450","39,550","29,010,894","728,002,365"
2016/11/10,"41,000","1,350","2,520,434","102,926,706,950","41,000","41,050","40,500","29,848,097","728,002,365"
2016/11/09,"39,650","-1,850","5,779,291","231,022,054,400","41,650","41,750","38,700","28,865,294","728,002,365"
2016/11/08,"41,500","0","1,882,987","78,310,426,900","42,100","42,150","41,250","30,212,098","728,002,365"
2016/11/07,"41,500","300","2,033,220","84,599,075,000","41,800","42,050","41,200","30,212,098","728,002,365"
2016/11/04,"41,200","50","2,600,930","107,062,186,650","41,150","41,400","40,850","29,993,697","728,002,365"
2016/11/03,"41,150","150","2,580,396","106,289,352,450","40,900","41,700","40,700","29,957,297","728,002,365"
2016/11/02,"41,000","-1,000","2,822,651","115,327,282,400","41,250","41,400","40,450","29,848,097","728,002,365"
2016/11/01,"42,000","1,000","3,173,446","132,957,689,150","41,700","42,350","41,600","30,576,099","728,002,365"
2016/10/31,"41,000","-1,450","3,297,943","136,815,270,850","42,500","42,900","41,000","29,848,097","728,002,365"
2016/10/28,"42,450","-550","2,251,179","95,817,905,050","42,700","42,950","42,100","30,903,700","728,002,365"
2016/10/27,"43,000","100","4,814,197","207,335,522,112","42,900","43,600","42,600","31,304,102","728,002,365"
2016/10/26,"42,900","1,850","6,364,037","268,156,593,075","41,300","42,900","41,300","31,231,301","728,002,365"
2016/10/25,"41,050","900","4,469,224","183,527,825,311","40,350","41,650","40,200","29,884,497","728,002,365"
2016/10/24,"40,150","-800","2,211,109","89,073,054,250","41,000","41,150","39,850","29,229,295","728,002,365"
2016/10/21,"40,950","900","2,436,212","98,732,398,348","39,500","41,000","39,500","29,811,697","728,002,365"
2016/10/20,"40,050","0","5,423,960","213,696,575,804","40,250","40,300","38,850","29,156,495","728,002,365"
2016/10/19,"40,050","-1,600","5,033,246","204,101,529,750","41,150","41,450","39,850","29,156,495","728,002,365"
2016/10/18,"41,650","-650","2,559,222","106,618,142,648","42,200","42,300","41,300","30,321,299","728,002,365"
2016/10/17,"42,300","750","2,314,725","96,989,688,034","41,750","42,300","41,400","30,794,500","728,002,365"
2016/10/14,"41,550","600","2,708,972","112,662,493,405","41,300","41,900","41,200","30,248,498","728,002,365"
2016/10/13,"40,950","-300","3,638,071","149,800,816,329","41,450","41,700","40,950","29,811,697","728,002,365"
2016/10/12,"41,250","-50","3,521,492","145,969,561,406","41,000","41,900","41,000","30,030,098","728,002,365"
2016/10/11,"41,300","0","2,810,503","116,692,078,900","41,300","42,000","41,100","30,066,498","728,002,365"
2016/10/10,"41,300","-900","2,916,252","121,038,998,400","42,200","42,500","41,200","30,066,498","728,002,365"
2016/10/07,"42,200","-350","2,637,734","111,081,246,325","42,700","42,700","41,900","30,721,700","728,002,365"
