년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2019/12/30,"6,650","40","77,243","513,946,400","6,620","6,680","6,600","348,599","52,420,851"
2019/12/27,"6,610","30","58,760","387,239,580","6,600","6,630","6,540","346,502","52,420,851"
2019/12/26,"6,580","80","86,477","564,478,970","6,510","6,580","6,480","344,929","52,420,851"
2019/12/24,"6,500","-120","108,630","707,876,220","6,580","6,620","6,460","340,736","52,420,851"
2019/12/23,"6,620","-40","54,113","357,796,400","6,660","6,660","6,580","347,026","52,420,851"
2019/12/20,"6,660","100","79,023","520,995,340","6,560","6,660","6,530","349,123","52,420,851"
2019/12/19,"6,560","60","71,717","469,439,440","6,500","6,590","6,500","343,881","52,420,851"
2019/12/18,"6,500","-20","105,944","688,360,810","6,520","6,550","6,400","340,736","52,420,851"
2019/12/17,"6,520","0","88,377","575,798,400","6,520","6,580","6,480","341,784","52,420,851"
2019/12/16,"6,520","-60","109,896","717,785,430","6,580","6,620","6,480","341,784","52,420,851"
2019/12/13,"6,580","-10","158,708","1,048,023,060","6,620","6,680","6,570","344,929","52,420,851"
2019/12/12,"6,590","-70","130,672","864,925,740","6,630","6,700","6,580","345,453","52,420,851"
2019/12/11,"6,660","-10","47,990","318,280,240","6,700","6,700","6,610","349,123","52,420,851"
2019/12/10,"6,670","30","32,294","214,763,650","6,600","6,690","6,600","349,647","52,420,851"
2019/12/09,"6,640","-10","72,605","480,919,140","6,700","6,700","6,590","348,074","52,420,851"
2019/12/06,"6,650","40","35,771","236,926,830","6,540","6,680","6,530","348,599","52,420,851"
2019/12/05,"6,610","-80","78,683","522,526,550","6,670","6,710","6,590","346,502","52,420,851"
2019/12/04,"6,690","-50","71,889","481,488,410","6,800","6,800","6,670","350,695","52,420,851"
2019/12/03,"6,740","-70","68,480","461,272,710","6,810","6,840","6,690","353,317","52,420,851"
2019/12/02,"6,810","-10","44,484","303,003,060","6,780","6,890","6,780","356,986","52,420,851"
2019/11/29,"6,820","-140","161,384","1,105,379,040","6,940","6,960","6,770","357,510","52,420,851"
2019/11/28,"6,960","-10","47,656","329,590,230","6,970","6,970","6,890","364,849","52,420,851"
2019/11/27,"6,970","-30","58,598","406,651,920","6,970","7,030","6,910","365,373","52,420,851"
2019/11/26,"7,000","60","86,148","603,272,910","6,940","7,070","6,940","366,946","52,420,851"
2019/11/25,"6,940","70","58,457","404,069,470","6,950","6,970","6,880","363,801","52,420,851"
2019/11/22,"6,870","-30","72,892","502,931,560","6,890","6,990","6,830","360,131","52,420,851"
2019/11/21,"6,900","-120","100,319","694,667,470","7,020","7,080","6,840","361,704","52,420,851"
2019/11/20,"7,020","-200","136,376","965,444,940","7,240","7,240","6,990","367,994","52,420,851"
2019/11/19,"7,220","10","47,488","340,032,260","7,210","7,220","7,120","378,479","52,420,851"
2019/11/18,"7,210","110","95,896","690,487,970","7,150","7,260","7,100","377,954","52,420,851"
2019/11/15,"7,100","100","110,268","779,266,500","7,000","7,120","6,990","372,188","52,420,851"
2019/11/14,"7,000","-200","184,232","1,315,131,200","7,200","7,290","7,000","366,946","52,420,851"
2019/11/13,"7,200","0","67,761","485,657,420","7,230","7,230","7,120","377,430","52,420,851"
2019/11/12,"7,200","-20","92,417","662,920,900","7,220","7,250","7,140","377,430","52,420,851"
2019/11/11,"7,220","-20","88,370","638,334,070","7,270","7,290","7,160","378,479","52,420,851"
2019/11/08,"7,240","10","86,750","623,190,630","7,230","7,290","7,140","379,527","52,420,851"
2019/11/07,"7,230","-50","248,762","1,813,488,510","7,280","7,400","7,170","379,003","52,420,851"
2019/11/06,"7,280","30","110,069","799,834,440","7,250","7,300","7,220","381,624","52,420,851"
2019/11/05,"7,250","10","148,213","1,070,349,870","7,260","7,260","7,170","380,051","52,420,851"
2019/11/04,"7,240","250","235,790","1,689,547,830","7,020","7,240","7,010","379,527","52,420,851"
2019/11/01,"6,990","110","93,582","648,822,930","6,870","6,990","6,860","366,422","52,420,851"
2019/10/31,"6,880","10","76,256","526,228,050","6,870","6,940","6,860","360,655","52,420,851"
2019/10/30,"6,870","-20","54,351","372,432,340","6,930","6,930","6,830","360,131","52,420,851"
2019/10/29,"6,890","-20","51,905","358,806,230","6,920","6,960","6,880","361,180","52,420,851"
2019/10/28,"6,910","70","49,320","339,826,230","6,830","6,930","6,830","362,228","52,420,851"
2019/10/25,"6,840","-10","44,001","301,611,050","6,870","6,930","6,820","358,559","52,420,851"
2019/10/24,"6,850","-60","82,363","565,205,180","6,910","6,950","6,820","359,083","52,420,851"
2019/10/23,"6,910","20","107,450","739,618,360","6,880","6,930","6,810","362,228","52,420,851"
2019/10/22,"6,890","10","71,410","491,774,450","6,880","6,940","6,850","361,180","52,420,851"
2019/10/21,"6,880","-70","62,102","428,036,120","6,940","6,950","6,860","360,655","52,420,851"
2019/10/18,"6,950","50","77,658","537,619,640","7,000","7,000","6,870","364,325","52,420,851"
2019/10/17,"6,900","-20","59,869","413,728,660","6,930","6,950","6,880","361,704","52,420,851"
2019/10/16,"6,920","50","61,349","423,612,510","6,940","6,950","6,860","362,752","52,420,851"
2019/10/15,"6,870","0","53,054","365,661,380","6,890","6,920","6,830","360,131","52,420,851"
2019/10/14,"6,870","40","47,094","324,181,830","6,860","6,960","6,860","360,131","52,420,851"
2019/10/11,"6,830","20","77,789","530,534,820","6,810","6,870","6,800","358,034","52,420,851"
2019/10/10,"6,810","-90","106,211","719,311,840","6,800","6,850","6,740","356,986","52,420,851"
2019/10/08,"6,900","160","98,499","674,609,370","6,710","6,930","6,710","361,704","52,420,851"
2019/10/07,"6,740","40","52,358","354,490,600","6,810","6,810","6,740","353,317","52,420,851"
2019/10/04,"6,700","-70","108,834","731,710,290","6,740","6,780","6,690","351,220","52,420,851"
2019/10/02,"6,770","-160","56,202","380,993,900","6,900","6,900","6,760","354,889","52,420,851"
2019/10/01,"6,930","180","50,650","346,517,400","6,720","6,930","6,720","363,276","52,420,851"
2019/09/30,"6,750","-120","117,895","797,641,630","6,870","6,890","6,710","353,841","52,420,851"
2019/09/27,"6,870","-70","136,130","931,916,800","6,990","6,990","6,750","360,131","52,420,851"
2019/09/26,"6,940","-60","94,466","658,965,170","7,020","7,090","6,900","363,801","52,420,851"
2019/09/25,"7,000","-80","116,696","820,967,040","7,080","7,170","6,960","366,946","52,420,851"
2019/09/24,"7,080","-60","75,553","536,587,060","7,150","7,150","7,080","371,140","52,420,851"
2019/09/23,"7,140","60","117,864","835,693,030","7,080","7,150","7,030","374,285","52,420,851"
2019/09/20,"7,080","0","107,686","764,570,440","7,120","7,170","7,060","371,140","52,420,851"
2019/09/19,"7,080","-190","221,749","1,582,479,970","7,280","7,280","7,060","371,140","52,420,851"
2019/09/18,"7,270","-30","86,627","628,343,420","7,340","7,350","7,220","381,100","52,420,851"
2019/09/17,"7,300","150","192,147","1,391,678,190","7,170","7,320","7,150","382,672","52,420,851"
2019/09/16,"7,150","40","118,775","850,716,870","7,120","7,200","7,110","374,809","52,420,851"
2019/09/11,"7,110","30","82,061","583,444,890","7,070","7,140","7,070","372,712","52,420,851"
2019/09/10,"7,080","0","46,314","327,531,060","7,080","7,130","7,040","371,140","52,420,851"
2019/09/09,"7,080","10","48,298","342,086,810","7,100","7,130","7,060","371,140","52,420,851"
2019/09/06,"7,070","-60","83,590","593,450,750","7,110","7,150","7,070","370,615","52,420,851"
2019/09/05,"7,130","60","118,598","843,038,950","7,100","7,150","7,060","373,761","52,420,851"
2019/09/04,"7,070","-70","97,729","692,847,330","7,130","7,150","7,060","370,615","52,420,851"
2019/09/03,"7,140","20","46,440","330,962,020","7,120","7,170","7,100","374,285","52,420,851"
2019/09/02,"7,120","0","68,691","488,583,320","7,060","7,140","7,060","373,236","52,420,851"
2019/08/30,"7,120","10","101,938","731,165,680","7,420","7,420","7,050","373,236","52,420,851"
2019/08/29,"7,110","0","84,758","600,466,590","7,170","7,170","7,020","372,712","52,420,851"
2019/08/28,"7,110","160","85,043","599,415,850","6,910","7,120","6,910","372,712","52,420,851"
2019/08/27,"6,950","-110","164,630","1,162,717,260","7,260","7,260","6,950","364,325","52,420,851"
2019/08/26,"7,060","-180","190,728","1,352,317,650","7,090","7,230","6,980","370,091","52,420,851"
2019/08/23,"7,240","70","156,937","1,128,367,480","7,160","7,260","7,060","379,527","52,420,851"
2019/08/22,"7,170","-10","173,278","1,243,949,590","7,200","7,250","7,070","375,858","52,420,851"
2019/08/21,"7,180","200","264,536","1,874,182,310","6,910","7,190","6,910","376,382","52,420,851"
2019/08/20,"6,980","220","213,815","1,488,377,180","6,760","7,040","6,760","365,898","52,420,851"
2019/08/19,"6,760","90","176,005","1,186,316,000","6,720","6,820","6,690","354,365","52,420,851"
2019/08/16,"6,670","150","210,151","1,383,633,130","6,610","6,680","6,480","349,647","52,420,851"
2019/08/14,"6,520","20","110,322","722,674,590","6,530","6,600","6,500","341,784","52,420,851"
2019/08/13,"6,500","30","143,503","924,486,930","6,450","6,550","6,340","340,736","52,420,851"
2019/08/12,"6,470","130","83,353","535,330,020","6,340","6,480","6,310","339,163","52,420,851"
2019/08/09,"6,340","-10","137,613","876,531,470","6,360","6,430","6,320","332,348","52,420,851"
2019/08/08,"6,350","170","188,932","1,188,826,340","6,200","6,350","6,200","332,872","52,420,851"
2019/08/07,"6,180","80","143,113","883,121,860","6,070","6,260","6,070","323,961","52,420,851"
2019/08/06,"6,100","-240","347,076","2,150,460,870","6,130","6,380","5,900","319,767","52,420,851"
2019/08/05,"6,340","-420","410,948","2,668,957,520","6,710","6,760","6,330","332,348","52,420,851"
2019/08/02,"6,760","20","113,170","761,358,840","6,680","6,810","6,640","354,365","52,420,851"
2019/08/01,"6,740","-50","176,783","1,206,427,910","6,790","6,930","6,740","353,317","52,420,851"
2019/07/31,"6,790","20","175,626","1,179,721,920","6,740","6,810","6,620","355,938","52,420,851"
2019/07/30,"6,770","100","153,704","1,042,449,000","6,680","6,860","6,680","354,889","52,420,851"
2019/07/29,"6,670","-270","378,201","2,547,811,230","6,870","6,940","6,610","349,647","52,420,851"
2019/07/26,"6,940","-120","342,164","2,371,458,510","7,040","7,090","6,840","363,801","52,420,851"
2019/07/25,"7,060","-100","213,004","1,511,088,110","7,110","7,210","7,030","370,091","52,420,851"
2019/07/24,"7,160","-40","156,116","1,126,293,700","7,210","7,280","7,160","375,333","52,420,851"
2019/07/23,"7,200","-130","152,834","1,107,484,440","7,340","7,370","7,200","377,430","52,420,851"
2019/07/22,"7,330","-60","185,161","1,367,368,940","7,480","7,500","7,300","384,245","52,420,851"
2019/07/19,"7,390","190","341,803","2,515,584,870","7,220","7,430","7,220","387,390","52,420,851"
2019/07/18,"7,200","-120","209,778","1,520,810,570","7,270","7,330","7,170","377,430","52,420,851"
2019/07/17,"7,320","190","481,837","3,491,256,800","7,100","7,380","7,070","383,721","52,420,851"
2019/07/16,"7,130","10","369,447","2,636,048,980","7,150","7,220","7,050","373,761","52,420,851"
2019/07/15,"7,120","-170","1,335,579","9,868,609,680","7,290","7,840","7,120","373,236","52,420,851"
2019/07/12,"7,290","10","229,945","1,675,221,460","7,280","7,340","7,220","382,148","52,420,851"
2019/07/11,"7,280","60","335,364","2,424,404,110","7,220","7,310","7,130","381,624","52,420,851"
2019/07/10,"7,220","100","282,217","2,023,819,810","7,110","7,260","7,110","378,479","52,420,851"
2019/07/09,"7,120","-120","401,497","2,908,041,770","7,250","7,330","7,120","373,236","52,420,851"
2019/07/08,"7,240","-430","760,458","5,572,004,500","7,630","7,640","7,240","379,527","52,420,851"
2019/07/05,"7,670","40","471,005","3,596,270,330","7,620","7,720","7,540","402,068","52,420,851"
2019/07/04,"7,630","130","630,372","4,794,143,440","7,550","7,740","7,490","399,971","52,420,851"
2019/07/03,"7,500","-140","716,736","5,454,078,750","7,560","7,770","7,470","393,156","52,420,851"
2019/07/02,"7,640","170","842,195","6,401,052,370","7,510","7,730","7,470","400,495","52,420,851"
2019/07/01,"7,470","-20","844,892","6,341,962,390","7,440","7,620","7,420","391,584","52,420,851"
2019/06/28,"7,490","-300","1,557,798","11,883,703,620","7,800","7,930","7,480","392,632","52,420,851"
2019/06/27,"7,790","-240","4,231,685","33,818,151,120","7,900","8,330","7,610","408,358","52,420,851"
2019/06/26,"8,030","-190","3,503,184","27,998,953,770","8,330","8,370","7,750","420,939","52,420,851"
2019/06/25,"8,220","-680","5,391,879","45,640,762,990","8,670","8,800","8,150","430,899","52,420,851"
2019/06/24,"8,900","1,550","24,471,418","216,042,124,290","7,600","9,450","7,590","466,546","52,420,851"
2019/06/21,"7,350","110","353,173","2,606,440,130","7,370","7,470","7,270","385,293","52,420,851"
2019/06/20,"7,240","80","51,014","368,237,340","7,170","7,260","7,090","379,527","52,420,851"
2019/06/19,"7,160","-60","181,265","1,317,149,880","7,230","7,470","7,130","375,333","52,420,851"
2019/06/18,"7,220","-60","59,229","426,876,770","7,280","7,280","7,150","378,479","52,420,851"
2019/06/17,"7,280","20","96,711","707,503,500","7,350","7,380","7,250","381,624","52,420,851"
2019/06/14,"7,260","-40","61,915","447,093,210","7,300","7,300","7,190","380,575","52,420,851"
2019/06/13,"7,300","120","154,293","1,123,274,520","7,190","7,340","7,180","382,672","52,420,851"
2019/06/12,"7,180","20","53,617","383,101,490","7,170","7,200","7,080","376,382","52,420,851"
2019/06/11,"7,160","50","79,853","569,280,610","7,140","7,170","7,060","375,333","52,420,851"
2019/06/10,"7,110","20","34,881","247,559,560","7,170","7,170","7,070","372,712","52,420,851"
2019/06/07,"7,090","70","75,272","532,676,600","7,020","7,120","7,020","371,664","52,420,851"
2019/06/05,"7,020","-10","37,264","262,383,470","7,050","7,100","7,000","367,994","52,420,851"
2019/06/04,"7,030","120","111,448","784,208,500","6,910","7,130","6,910","368,519","52,420,851"
2019/06/03,"6,910","40","85,112","585,209,550","6,850","6,940","6,760","362,228","52,420,851"
2019/05/31,"6,870","-80","46,201","318,965,310","6,960","7,000","6,870","360,131","52,420,851"
2019/05/30,"6,950","-10","45,222","313,290,010","6,910","7,000","6,850","364,325","52,420,851"
