년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2017/12/28,"33,500","150","643,394","21,335,308,240","33,200","33,500","32,750","13,579,672","405,363,347"
2017/12/27,"33,350","150","662,689","21,954,574,550","32,800","33,350","32,500","13,518,868","405,363,347"
2017/12/26,"33,200","100","879,607","29,311,124,500","33,100","33,450","33,050","13,458,063","405,363,347"
2017/12/22,"33,100","200","805,051","26,577,224,900","33,250","33,250","32,800","13,417,527","405,363,347"
2017/12/21,"32,900","-400","640,274","21,131,753,300","33,150","33,250","32,850","13,336,454","405,363,347"
2017/12/20,"33,300","150","729,718","24,280,191,350","33,050","33,500","33,000","13,498,599","405,363,347"
2017/12/19,"33,150","-150","623,539","20,647,876,400","33,300","33,350","32,900","13,437,795","405,363,347"
2017/12/18,"33,300","50","444,833","14,782,958,250","33,300","33,400","32,800","13,498,599","405,363,347"
2017/12/15,"33,250","750","981,550","32,523,620,550","32,950","33,350","32,800","13,478,331","405,363,347"
2017/12/14,"32,500","-600","1,356,754","44,828,005,950","33,150","33,700","32,500","13,174,309","405,363,347"
2017/12/13,"33,100","400","625,442","20,569,213,800","32,700","33,100","32,450","13,417,527","405,363,347"
2017/12/12,"32,700","250","726,255","23,575,145,644","32,050","32,700","32,050","13,255,381","405,363,347"
2017/12/11,"32,450","-550","1,407,108","45,494,242,050","33,000","33,050","32,000","13,154,041","405,363,347"
2017/12/08,"33,000","-250","1,038,301","34,055,810,350","33,200","33,450","32,600","13,376,990","405,363,347"
2017/12/07,"33,250","-650","978,272","32,656,172,100","33,900","33,950","33,200","13,478,331","405,363,347"
2017/12/06,"33,900","150","931,273","31,750,998,250","33,750","34,400","33,750","13,741,817","405,363,347"
2017/12/05,"33,750","650","782,290","26,343,662,350","33,000","33,950","33,000","13,681,013","405,363,347"
2017/12/04,"33,100","-50","585,569","19,278,335,200","33,100","33,150","32,700","13,417,527","405,363,347"
2017/12/01,"33,150","-500","857,798","28,550,568,300","33,650","33,850","33,000","13,437,795","405,363,347"
2017/11/30,"33,650","300","2,048,876","69,395,192,500","33,700","34,250","33,500","13,640,477","405,363,347"
2017/11/29,"33,350","400","884,282","29,477,548,500","33,000","33,500","32,700","13,518,868","405,363,347"
2017/11/28,"32,950","200","1,350,643","44,757,313,400","32,650","33,450","32,450","13,356,722","405,363,347"
