년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2018/12/28,"51,900","700","45,094","2,348,917,600","51,400","52,600","51,400","1,540,013","29,672,700"
2018/12/27,"51,200","1,850","54,552","2,794,366,300","50,600","52,200","49,500","1,519,242","29,672,700"
2018/12/26,"49,350","-1,150","72,769","3,596,107,650","49,000","50,100","48,900","1,464,348","29,672,700"
2018/12/24,"50,500","300","70,340","3,552,245,750","50,800","51,400","49,150","1,498,471","29,672,700"
2018/12/21,"50,200","-400","50,159","2,517,337,250","50,200","50,700","49,450","1,489,570","29,672,700"
2018/12/20,"50,600","1,700","66,051","3,314,298,550","48,800","50,800","48,250","1,501,439","29,672,700"
2018/12/19,"48,900","100","49,217","2,407,875,050","48,450","50,200","48,200","1,450,995","29,672,700"
2018/12/18,"48,800","1,400","95,978","4,686,480,050","46,400","50,000","46,350","1,448,028","29,672,700"
2018/12/17,"47,400","-2,100","77,663","3,695,192,150","49,900","50,000","47,050","1,406,486","29,672,700"
2018/12/14,"49,500","-2,500","47,170","2,359,321,100","52,000","52,000","49,350","1,468,799","29,672,700"
2018/12/13,"52,000","-200","40,934","2,123,741,000","51,700","52,400","51,200","1,542,980","29,672,700"
2018/12/12,"52,200","1,500","68,010","3,517,623,700","50,800","52,300","50,300","1,548,915","29,672,700"
2018/12/11,"50,700","1,750","58,031","2,915,596,250","49,450","50,800","49,400","1,504,406","29,672,700"
2018/12/10,"48,950","-700","45,205","2,201,557,350","49,400","49,400","47,800","1,452,479","29,672,700"
2018/12/07,"49,650","50","43,070","2,118,460,800","49,350","50,900","48,650","1,473,250","29,672,700"
2018/12/06,"49,600","-1,000","83,517","4,162,347,925","51,000","51,100","49,100","1,471,766","29,672,700"
2018/12/05,"50,600","-300","40,450","2,049,664,050","49,550","51,400","49,550","1,501,439","29,672,700"
2018/12/04,"50,900","1,500","77,776","3,935,293,350","49,850","51,000","49,850","1,510,340","29,672,700"
2018/12/03,"49,400","-500","77,783","3,916,469,300","50,000","51,700","47,100","1,465,831","29,672,700"
2018/11/30,"49,900","400","102,101","5,065,271,800","49,500","50,300","48,250","1,480,668","29,672,700"
2018/11/29,"49,500","3,300","195,881","9,598,424,950","46,800","50,800","46,000","1,468,799","29,672,700"
2018/11/28,"46,200","-600","54,671","2,515,058,500","46,800","46,950","45,300","1,370,879","29,672,700"
2018/11/27,"46,800","2,200","86,983","3,984,758,800","44,950","46,850","44,600","1,388,682","29,672,700"
2018/11/26,"44,600","350","32,576","1,437,478,300","43,900","44,650","43,450","1,323,402","29,672,700"
2018/11/23,"44,250","150","26,346","1,165,920,800","44,100","44,600","44,000","1,313,017","29,672,700"
2018/11/22,"44,100","-400","39,987","1,776,854,600","44,450","45,300","43,700","1,308,566","29,672,700"
2018/11/21,"44,500","300","61,433","2,721,953,900","43,050","45,100","42,900","1,320,435","29,672,700"
2018/11/20,"44,200","-1,700","69,883","3,123,734,650","45,750","45,850","44,000","1,311,533","29,672,700"
2018/11/19,"45,900","500","54,489","2,491,190,000","45,900","45,900","45,100","1,361,977","29,672,700"
2018/11/16,"45,400","-1,600","66,230","3,040,257,800","47,500","47,500","45,400","1,347,141","29,672,700"
2018/11/15,"47,000","-250","38,620","1,798,866,900","47,000","47,450","46,100","1,394,617","29,672,700"
2018/11/14,"47,250","1,100","40,189","1,870,526,600","45,500","47,250","45,300","1,402,035","29,672,700"
2018/11/13,"46,150","750","64,494","2,869,820,600","45,000","46,150","43,100","1,369,395","29,672,700"
2018/11/12,"45,400","-2,100","83,899","3,812,847,500","47,500","47,500","44,650","1,347,141","29,672,700"
2018/11/09,"47,500","-300","34,116","1,611,624,200","47,800","48,000","46,950","1,409,453","29,672,700"
2018/11/08,"47,800","450","77,154","3,698,734,350","48,150","49,000","47,350","1,418,355","29,672,700"
2018/11/07,"47,350","-1,750","115,481","5,460,621,600","49,500","49,500","46,150","1,405,002","29,672,700"
2018/11/06,"49,100","100","35,452","1,729,637,050","49,550","50,300","48,200","1,456,930","29,672,700"
