년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2016/12/29,"8,150","-120","638,277","5,238,244,620","8,270","8,300","8,120","2,701,394","331,459,341"
2016/12/28,"8,270","-130","511,920","4,235,578,990","8,230","8,300","8,220","2,741,169","331,459,341"
2016/12/27,"8,400","70","616,458","5,157,696,250","8,330","8,400","8,320","2,784,258","331,459,341"
2016/12/26,"8,330","70","599,840","4,971,127,550","8,300","8,340","8,240","2,761,056","331,459,341"
2016/12/23,"8,260","-10","1,061,621","8,787,888,790","8,270","8,310","8,240","2,737,854","331,459,341"
2016/12/22,"8,270","-80","1,188,237","9,836,773,760","8,340","8,360","8,230","2,741,169","331,459,341"
2016/12/21,"8,350","-70","836,782","6,990,524,690","8,450","8,450","8,320","2,767,685","331,459,341"
2016/12/20,"8,420","10","923,629","7,783,895,940","8,410","8,480","8,380","2,790,888","331,459,341"
2016/12/19,"8,410","-70","885,115","7,427,467,470","8,520","8,520","8,350","2,787,573","331,459,341"
2016/12/16,"8,480","90","707,480","5,967,728,190","8,420","8,480","8,390","2,810,775","331,459,341"
2016/12/15,"8,390","40","1,493,878","12,439,609,650","8,360","8,410","8,320","2,780,944","331,459,341"
2016/12/14,"8,350","-60","9,094,705","75,257,426,456","8,410","8,430","8,350","2,767,685","331,459,341"
2016/12/13,"8,410","0","699,126","5,879,891,580","8,410","8,450","8,370","2,787,573","331,459,341"
2016/12/12,"8,410","-20","312,257","2,632,959,590","8,430","8,470","8,410","2,787,573","331,459,341"
2016/12/09,"8,430","-20","206,760","1,745,736,630","8,470","8,470","8,420","2,794,202","331,459,341"
2016/12/08,"8,450","-20","420,920","3,558,701,230","8,500","8,500","8,440","2,800,831","331,459,341"
2016/12/07,"8,470","0","530,295","4,497,680,540","8,470","8,520","8,440","2,807,461","331,459,341"
2016/12/06,"8,470","20","423,169","3,580,897,410","8,440","8,480","8,440","2,807,461","331,459,341"
2016/12/05,"8,450","-50","422,833","3,575,402,860","8,490","8,490","8,400","2,800,831","331,459,341"
2016/12/02,"8,500","100","1,623,605","13,698,287,080","8,350","8,500","8,350","2,817,404","331,459,341"
2016/12/01,"8,400","-50","599,960","5,060,795,330","8,460","8,490","8,400","2,784,258","331,459,341"
2016/11/30,"8,450","20","825,788","6,971,608,180","8,420","8,490","8,410","2,800,831","331,459,341"
2016/11/29,"8,430","-80","1,092,893","9,249,047,970","8,510","8,510","8,420","2,794,202","331,459,341"
2016/11/28,"8,510","-30","1,125,429","9,542,292,180","8,540","8,560","8,420","2,820,719","331,459,341"
2016/11/25,"8,540","0","379,481","3,236,115,750","8,500","8,560","8,500","2,830,663","331,459,341"
2016/11/24,"8,540","-40","794,659","6,784,339,070","8,590","8,620","8,500","2,830,663","331,459,341"
2016/11/23,"8,580","-50","880,474","7,560,246,358","8,610","8,610","8,570","2,843,921","331,459,341"
2016/11/22,"8,630","0","1,181,299","10,174,192,390","8,630","8,630","8,590","2,860,494","331,459,341"
2016/11/21,"8,630","-20","597,046","5,152,288,880","8,630","8,650","8,600","2,860,494","331,459,341"
2016/11/18,"8,650","20","579,656","5,004,987,570","8,630","8,660","8,610","2,867,123","331,459,341"
2016/11/17,"8,630","10","361,934","3,118,959,210","8,650","8,660","8,580","2,860,494","331,459,341"
2016/11/16,"8,620","30","827,599","7,110,956,240","8,580","8,650","8,540","2,857,180","331,459,341"
2016/11/15,"8,590","-60","1,300,201","11,191,913,156","8,680","8,690","8,580","2,847,236","331,459,341"
2016/11/14,"8,650","-130","2,774,226","24,103,627,900","8,780","8,780","8,540","2,867,123","331,459,341"
2016/11/11,"8,780","-30","1,356,541","11,920,535,990","8,800","8,810","8,780","2,910,213","331,459,341"
2016/11/10,"8,810","10","1,364,805","12,010,887,490","8,810","8,830","8,790","2,920,157","331,459,341"
2016/11/09,"8,800","-20","1,151,908","10,140,000,580","8,820","8,830","8,790","2,916,842","331,459,341"
2016/11/08,"8,820","0","201,602","1,778,652,820","8,820","8,840","8,810","2,923,471","331,459,341"
2016/11/07,"8,820","-10","347,192","3,060,417,660","8,810","8,850","8,810","2,923,471","331,459,341"
2016/11/04,"8,830","20","424,246","3,738,912,140","8,810","8,840","8,800","2,926,786","331,459,341"
2016/11/03,"8,810","-40","258,995","2,282,438,270","8,850","8,850","8,800","2,920,157","331,459,341"
2016/11/02,"8,850","30","644,349","5,680,394,730","8,800","8,860","8,800","2,933,415","331,459,341"
2016/11/01,"8,820","10","532,526","4,688,299,030","8,800","8,820","8,800","2,923,471","331,459,341"
2016/10/31,"8,810","-10","337,567","2,975,136,780","8,820","8,830","8,810","2,920,157","331,459,341"
2016/10/28,"8,820","10","294,561","2,596,183,210","8,810","8,830","8,810","2,923,471","331,459,341"
2016/10/27,"8,810","-20","481,423","4,242,980,450","8,840","8,840","8,810","2,920,157","331,459,341"
2016/10/26,"8,830","20","640,377","5,646,407,000","8,810","8,840","8,810","2,926,786","331,459,341"
2016/10/25,"8,810","-10","377,644","3,330,877,730","8,820","8,850","8,810","2,920,157","331,459,341"
2016/10/24,"8,820","-30","619,201","5,476,546,940","8,840","8,870","8,820","2,923,471","331,459,341"
2016/10/21,"8,850","30","687,995","6,088,391,200","8,820","8,860","8,810","2,933,415","331,459,341"
2016/10/20,"8,820","0","1,436,407","12,661,113,270","8,820","8,850","8,810","2,923,471","331,459,341"
2016/10/19,"8,820","0","325,781","2,871,105,320","8,800","8,830","8,800","2,923,471","331,459,341"
2016/10/18,"8,820","10","865,217","7,616,068,950","8,800","8,820","8,800","2,923,471","331,459,341"
2016/10/17,"8,810","10","416,348","3,664,412,250","8,800","8,810","8,790","2,920,157","331,459,341"
2016/10/14,"8,800","-20","411,321","3,621,181,620","8,800","8,820","8,800","2,916,842","331,459,341"
2016/10/13,"8,820","20","538,064","4,739,586,310","8,800","8,830","8,790","2,923,471","331,459,341"
2016/10/12,"8,800","-10","466,792","4,112,564,880","8,790","8,830","8,790","2,916,842","331,459,341"
2016/10/11,"8,810","0","378,510","3,332,663,400","8,800","8,820","8,790","2,920,157","331,459,341"
2016/10/10,"8,810","0","413,322","3,634,423,270","8,790","8,810","8,780","2,920,157","331,459,341"
2016/10/07,"8,810","10","924,593","8,129,692,260","8,790","8,810","8,780","2,920,157","331,459,341"
2016/10/06,"8,800","0","1,503,265","13,214,729,210","8,800","8,810","8,790","2,916,842","331,459,341"
2016/10/05,"8,800","-10","358,537","3,152,689,850","8,820","8,820","8,790","2,916,842","331,459,341"
2016/10/04,"8,810","0","290,767","2,558,586,130","8,800","8,820","8,790","2,920,157","331,459,341"
2016/09/30,"8,810","-10","413,992","3,647,087,540","8,810","8,830","8,790","2,920,157","331,459,341"
2016/09/29,"8,820","30","1,054,163","9,299,399,232","8,790","8,940","8,790","2,923,471","331,459,341"
2016/09/28,"8,790","0","399,873","3,516,056,050","8,800","8,820","8,790","2,913,528","331,459,341"
2016/09/27,"8,790","0","367,821","3,234,367,969","8,790","8,810","8,790","2,913,528","331,459,341"
2016/09/26,"8,790","-10","483,437","4,251,050,340","8,800","8,810","8,780","2,913,528","331,459,341"
2016/09/23,"8,800","10","1,880,027","16,526,903,370","8,810","8,810","8,790","2,916,842","331,459,341"
2016/09/22,"8,790","-20","370,571","3,262,245,040","8,810","8,840","8,790","2,913,528","331,459,341"
2016/09/21,"8,810","20","545,142","4,798,635,800","8,820","8,820","8,780","2,920,157","331,459,341"
2016/09/20,"8,790","-50","865,579","7,613,374,510","8,830","8,840","8,780","2,913,528","331,459,341"
2016/09/19,"8,840","20","350,569","3,098,168,980","8,830","8,850","8,820","2,930,101","331,459,341"
2016/09/13,"8,820","30","188,180","1,656,181,320","8,790","8,820","8,780","2,923,471","331,459,341"
2016/09/12,"8,790","10","260,957","2,296,513,380","8,820","8,820","8,770","2,913,528","331,459,341"
2016/09/09,"8,780","-20","352,775","3,097,459,490","8,800","8,800","8,760","2,910,213","331,459,341"
