년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2018/12/28,"219,000","-1,500","195,928","42,832,057,500","221,000","223,000","216,000","15,059,432","68,764,530"
2018/12/27,"220,500","2,500","311,555","69,372,190,500","226,000","226,500","219,000","15,162,579","68,764,530"
2018/12/26,"218,000","-500","440,953","96,524,046,500","213,500","224,500","213,500","14,990,668","68,764,530"
2018/12/24,"218,500","-2,500","309,873","67,827,566,000","222,000","223,000","215,000","15,025,050","68,764,530"
2018/12/21,"221,000","11,000","706,872","155,418,312,500","211,500","222,500","211,500","15,196,961","68,764,530"
2018/12/20,"210,000","-1,000","294,353","61,771,653,000","209,000","213,000","207,000","14,440,551","68,764,530"
2018/12/19,"211,000","8,500","336,919","70,682,192,000","204,000","213,000","203,500","14,509,316","68,764,530"
2018/12/18,"202,500","-4,500","229,498","46,667,492,500","202,500","207,000","201,500","13,924,817","68,764,530"
2018/12/17,"207,000","1,500","282,481","57,995,493,500","204,500","208,000","201,500","14,234,258","68,764,530"
2018/12/14,"205,500","-10,500","459,055","94,944,719,000","215,000","215,500","203,000","14,131,111","68,764,530"
2018/12/13,"216,000","7,500","656,263","140,981,025,500","211,000","218,000","209,500","14,853,138","68,764,530"
2018/12/12,"208,500","5,000","421,767","87,049,445,000","206,500","210,500","203,500","14,337,405","68,764,530"
2018/12/11,"203,500","-500","278,367","56,779,555,500","206,000","207,500","202,000","13,993,582","68,764,530"
2018/12/10,"204,000","-4,000","266,379","54,153,943,500","204,500","206,000","201,000","14,027,964","68,764,530"
2018/12/07,"208,000","0","205,321","42,931,866,000","210,000","212,000","207,500","14,303,022","68,764,530"
2018/12/06,"208,000","-8,500","376,562","78,864,307,500","216,500","217,000","206,000","14,303,022","68,764,530"
2018/12/05,"216,500","-2,000","224,291","48,139,131,500","213,500","217,000","212,000","14,887,521","68,764,530"
2018/12/04,"218,500","-2,500","440,517","96,653,611,500","221,000","223,500","217,000","15,025,050","68,764,530"
2018/12/03,"221,000","14,500","511,045","111,377,965,000","211,500","222,000","211,000","15,196,961","68,764,530"
2018/11/30,"206,500","-3,000","407,748","85,001,889,500","210,500","214,500","206,000","14,199,875","68,764,530"
2018/11/29,"209,500","500","277,132","58,602,862,500","213,500","215,000","208,500","14,406,169","68,764,530"
2018/11/28,"209,000","-500","227,915","47,455,576,000","210,000","210,000","206,000","14,371,787","68,764,530"
2018/11/27,"209,500","3,500","399,162","83,228,086,000","209,000","210,500","203,500","14,406,169","68,764,530"
2018/11/26,"206,000","4,500","328,729","67,412,792,500","199,500","207,500","199,000","14,165,493","68,764,530"
2018/11/23,"201,500","-7,000","485,282","98,239,997,500","208,000","209,500","200,000","13,856,053","68,764,530"
2018/11/22,"208,500","-2,000","231,947","48,406,394,500","211,000","211,000","207,500","14,337,405","68,764,530"
2018/11/21,"210,500","1,500","559,824","115,365,282,000","202,500","211,000","200,000","14,474,934","68,764,530"
2018/11/20,"209,000","-13,500","594,077","125,982,740,500","218,000","218,500","207,000","14,371,787","68,764,530"
2018/11/19,"222,500","2,500","244,912","54,559,271,500","221,500","226,000","220,000","15,300,108","68,764,530"
2018/11/16,"220,000","-2,000","269,773","59,621,595,000","222,500","224,000","219,500","15,128,197","68,764,530"
2018/11/15,"222,000","4,500","254,921","55,715,418,500","215,500","223,000","213,500","15,265,726","68,764,530"
2018/11/14,"217,500","1,500","269,948","58,753,372,000","216,000","220,500","216,000","14,956,285","68,764,530"
2018/11/13,"216,000","-3,000","480,455","102,071,387,500","212,500","217,500","208,000","14,853,138","68,764,530"
2018/11/12,"219,000","2,500","426,379","92,344,450,500","213,000","219,500","211,000","15,059,432","68,764,530"
2018/11/09,"216,500","-12,500","698,588","153,072,746,000","229,000","229,000","215,500","14,887,521","68,764,530"
2018/11/08,"229,000","-500","456,112","105,737,838,500","235,000","237,000","229,000","15,747,077","68,764,530"
2018/11/07,"229,500","-5,000","280,171","64,613,746,000","233,000","235,500","227,500","15,781,460","68,764,530"
2018/11/06,"234,500","-1,500","265,428","61,845,298,000","238,000","238,500","230,500","16,125,282","68,764,530"
2018/11/05,"236,000","1,500","307,340","71,598,965,000","233,500","238,000","229,000","16,228,429","68,764,530"
2018/11/02,"234,500","6,000","600,951","138,615,184,000","230,500","234,500","226,000","16,125,282","68,764,530"
2018/11/01,"228,500","-7,000","490,359","114,230,588,500","239,500","241,000","227,500","15,712,695","68,764,530"
2018/10/31,"235,500","500","346,165","81,198,957,500","237,000","238,000","230,000","16,194,047","68,764,530"
2018/10/30,"235,000","6,000","519,730","120,519,656,000","228,000","238,000","222,000","16,159,665","68,764,530"
2018/10/29,"229,000","-3,000","644,243","149,949,006,567","238,000","239,500","226,000","15,747,077","68,764,530"
2018/10/26,"232,000","2,500","676,184","153,827,363,500","233,500","235,500","218,000","15,953,371","68,764,530"
2018/10/25,"229,500","7,000","676,719","151,142,211,500","214,000","229,500","214,000","15,781,460","68,764,530"
2018/10/24,"222,500","-17,000","811,416","185,349,519,500","240,000","241,500","219,500","15,300,108","68,764,530"
2018/10/23,"239,500","-11,500","514,080","123,564,448,000","251,000","251,000","236,000","16,469,105","68,764,530"
2018/10/22,"251,000","-1,500","168,401","42,184,755,000","251,000","254,000","247,500","17,259,897","68,764,530"
2018/10/19,"252,500","0","285,410","71,180,629,500","248,500","254,000","244,000","17,363,044","68,764,530"
2018/10/18,"252,500","2,000","265,114","67,133,077,000","252,500","256,500","250,500","17,363,044","68,764,530"
2018/10/17,"250,500","7,000","277,392","69,717,152,000","251,000","255,000","248,000","17,225,515","68,764,530"
2018/10/16,"243,500","0","188,273","46,112,163,500","245,500","249,500","242,500","16,744,163","68,764,530"
2018/10/15,"243,500","-500","283,646","69,606,036,500","244,000","249,500","241,000","16,744,163","68,764,530"
2018/10/12,"244,000","17,000","516,051","123,660,728,500","228,500","245,000","228,500","16,778,545","68,764,530"
2018/10/11,"227,000","-11,500","419,946","96,252,690,872","230,000","234,500","226,500","15,609,548","68,764,530"
2018/10/10,"238,500","-500","341,200","81,148,864,500","242,500","243,000","232,500","16,400,340","68,764,530"
2018/10/08,"239,000","2,000","356,685","86,035,724,000","235,500","247,500","234,000","16,434,723","68,764,530"
2018/10/05,"237,000","-7,000","595,906","139,920,987,000","242,000","243,000","231,000","16,297,194","68,764,530"
2018/10/04,"244,000","-6,000","390,712","95,402,510,000","250,000","252,500","241,000","16,778,545","68,764,530"
2018/10/02,"250,000","-2,500","229,183","58,025,060,500","254,500","259,000","250,000","17,191,132","68,764,530"
2018/10/01,"252,500","-6,000","317,594","80,722,781,500","259,500","261,000","251,000","17,363,044","68,764,530"
2018/09/28,"258,500","-2,500","335,811","86,722,449,288","261,500","262,000","254,500","17,775,631","68,764,530"
2018/09/27,"261,000","5,000","358,058","93,121,427,000","262,000","263,500","257,500","17,947,542","68,764,530"
2018/09/21,"256,000","2,500","298,991","76,290,600,000","256,500","257,000","252,000","17,603,720","68,764,530"
2018/09/20,"253,500","-3,000","297,512","75,776,205,000","255,000","258,500","251,500","17,431,808","68,764,530"
2018/09/19,"256,500","1,500","355,187","91,190,121,500","257,000","258,500","253,500","17,638,102","68,764,530"
2018/09/18,"255,000","8,500","428,081","107,517,250,500","243,000","255,000","240,500","17,534,955","68,764,530"
2018/09/17,"246,500","1,500","198,381","48,673,711,000","245,500","248,500","242,000","16,950,457","68,764,530"
2018/09/14,"245,000","6,500","251,884","61,678,633,000","242,000","248,000","241,500","16,847,310","68,764,530"
2018/09/13,"238,500","-9,000","571,739","137,505,991,050","245,000","248,000","238,000","16,400,340","68,764,530"
2018/09/12,"247,500","-2,000","409,317","101,306,625,500","251,500","254,000","241,500","17,019,221","68,764,530"
2018/09/11,"249,500","5,500","498,612","125,037,155,500","246,000","255,000","245,500","17,156,750","68,764,530"
2018/09/10,"244,000","5,000","218,309","53,112,626,000","238,000","244,500","238,000","16,778,545","68,764,530"
2018/09/07,"239,000","-3,000","362,020","86,927,667,000","242,000","244,500","235,500","16,434,723","68,764,530"
2018/09/06,"242,000","-500","280,531","67,738,202,500","240,500","245,000","237,500","16,641,016","68,764,530"
2018/09/05,"242,500","-2,500","301,486","73,410,404,833","246,000","246,000","240,500","16,675,399","68,764,530"
2018/09/04,"245,000","2,500","270,820","66,084,610,540","244,500","245,000","241,500","16,847,310","68,764,530"
2018/09/03,"242,500","6,500","428,249","103,558,509,474","237,500","244,000","235,500","16,675,399","68,764,530"
2018/08/31,"236,000","500","284,273","67,361,267,000","235,000","240,000","232,000","16,228,429","68,764,530"
2018/08/30,"235,500","0","297,809","70,346,204,250","235,500","239,000","233,000","16,194,047","68,764,530"
2018/08/29,"235,500","5,500","356,040","83,062,547,000","232,000","236,000","229,500","16,194,047","68,764,530"
2018/08/28,"230,000","-3,000","427,115","100,320,000,500","234,500","239,000","230,000","15,815,842","68,764,530"
2018/08/27,"233,000","9,000","394,144","91,210,716,000","226,000","234,000","224,500","16,022,135","68,764,530"
2018/08/24,"224,000","4,500","204,084","45,360,513,000","218,500","225,000","217,500","15,403,255","68,764,530"
2018/08/23,"219,500","4,000","196,747","42,784,684,000","216,000","221,000","214,500","15,093,814","68,764,530"
2018/08/22,"215,500","-1,500","217,180","46,866,550,500","217,500","218,500","214,000","14,818,756","68,764,530"
2018/08/21,"217,000","9,000","318,915","68,031,022,500","209,000","218,000","207,500","14,921,903","68,764,530"
2018/08/20,"208,000","-5,500","349,589","74,026,098,500","215,500","217,500","208,000","14,303,022","68,764,530"
2018/08/17,"213,500","-3,000","173,818","37,441,098,000","218,000","219,500","213,000","14,681,227","68,764,530"
2018/08/16,"216,500","2,000","250,060","53,546,972,000","210,000","217,500","210,000","14,887,521","68,764,530"
2018/08/14,"214,500","-500","216,559","46,220,826,000","216,000","216,000","211,000","14,749,992","68,764,530"
2018/08/13,"215,000","1,500","303,402","64,913,386,500","213,000","217,000","211,500","14,784,374","68,764,530"
2018/08/10,"213,500","-15,000","625,069","135,520,539,500","228,000","228,000","212,500","14,681,227","68,764,530"
2018/08/09,"228,500","3,000","318,853","72,648,486,000","226,000","230,000","222,500","15,712,695","68,764,530"
2018/08/08,"225,500","-1,000","225,652","51,327,203,500","227,000","229,500","225,000","15,506,402","68,764,530"
2018/08/07,"226,500","1,500","168,539","37,885,367,500","223,000","227,000","223,000","15,575,166","68,764,530"
2018/08/06,"225,000","-6,000","302,011","68,782,965,500","232,000","233,000","224,000","15,472,019","68,764,530"
2018/08/03,"231,000","4,500","246,206","56,370,789,000","229,500","232,000","226,000","15,884,606","68,764,530"
2018/08/02,"226,500","500","321,154","73,304,019,500","226,500","232,000","225,000","15,575,166","68,764,530"
2018/08/01,"226,000","-3,000","313,975","71,345,324,735","230,000","233,000","224,000","15,540,784","68,764,530"
2018/07/31,"229,000","1,000","324,057","74,462,429,500","227,500","233,000","224,500","15,747,077","68,764,530"
2018/07/30,"228,000","-6,500","621,510","143,111,392,756","237,000","240,500","225,000","15,678,313","68,764,530"
2018/07/27,"234,500","3,000","270,918","63,161,526,050","230,500","236,000","229,000","16,125,282","68,764,530"
2018/07/26,"231,500","1,500","326,994","75,170,234,520","230,500","232,500","226,500","15,918,989","68,764,530"
2018/07/25,"230,000","2,000","455,816","105,806,113,000","229,000","238,500","227,500","15,815,842","68,764,530"
2018/07/24,"228,000","7,500","302,173","67,743,397,000","221,000","228,500","220,000","15,678,313","68,764,530"
2018/07/23,"220,500","-11,500","440,882","98,320,140,500","229,000","231,000","219,000","15,162,579","68,764,530"
2018/07/20,"232,000","-3,000","314,316","72,951,467,500","235,500","236,000","229,500","15,953,371","68,764,530"
2018/07/19,"235,000","8,000","377,469","88,616,285,000","227,500","239,000","226,500","16,159,665","68,764,530"
2018/07/18,"227,000","-1,500","254,611","58,382,484,000","231,500","235,000","226,500","15,609,548","68,764,530"
2018/07/17,"228,500","-500","195,158","44,562,330,000","229,000","231,500","225,500","15,712,695","68,764,530"
2018/07/16,"229,000","-8,000","303,560","70,095,884,000","238,000","238,000","226,500","15,747,077","68,764,530"
2018/07/13,"237,000","3,500","439,815","104,875,337,136","235,000","244,000","234,000","16,297,194","68,764,530"
2018/07/12,"233,500","8,500","454,859","105,526,686,500","223,000","235,000","223,000","16,056,518","68,764,530"
2018/07/11,"225,000","-3,500","284,263","64,050,297,000","223,000","229,000","223,000","15,472,019","68,764,530"
2018/07/10,"228,500","-4,000","372,521","85,088,418,500","236,500","236,500","224,500","15,712,695","68,764,530"
2018/07/09,"232,500","1,500","420,448","98,249,391,500","230,500","237,500","229,500","15,987,753","68,764,530"
2018/07/06,"231,000","16,000","853,958","190,641,932,500","213,000","232,000","207,500","15,884,606","68,764,530"
2018/07/05,"215,000","2,000","264,247","56,084,618,500","212,500","216,000","207,000","14,784,374","68,764,530"
2018/07/04,"213,000","500","159,798","34,289,373,000","213,000","218,000","212,000","14,646,845","68,764,530"
2018/07/03,"212,500","-1,500","427,152","91,375,482,000","219,500","224,000","207,500","14,612,463","68,764,530"
2018/07/02,"214,000","0","280,539","60,659,390,500","215,000","220,000","212,500","14,715,609","68,764,530"
2018/06/29,"214,000","-6,000","594,795","127,260,354,500","219,500","220,500","210,000","14,715,609","68,764,530"
2018/06/28,"220,000","-5,500","270,729","59,715,063,000","223,000","223,500","218,500","15,128,197","68,764,530"
2018/06/27,"225,500","1,500","290,414","66,101,165,500","224,000","230,500","223,500","15,506,402","68,764,530"
2018/06/26,"224,000","-1,500","293,594","65,559,503,890","220,500","227,000","220,000","15,403,255","68,764,530"
2018/06/25,"225,500","-1,500","228,996","51,818,068,000","226,500","228,000","225,000","15,506,402","68,764,530"
2018/06/22,"227,000","1,000","261,954","58,975,457,500","223,500","229,000","220,000","15,609,548","68,764,530"
2018/06/21,"226,000","-3,000","368,767","84,388,263,000","231,500","232,000","225,000","15,540,784","68,764,530"
2018/06/20,"229,000","13,000","454,949","102,897,776,000","217,000","233,000","217,000","15,747,077","68,764,530"
2018/06/19,"216,000","-7,000","531,324","116,307,048,000","222,000","225,500","215,500","14,853,138","68,764,530"
2018/06/18,"223,000","-12,500","646,476","145,294,748,000","235,500","236,000","220,500","15,334,490","68,764,530"
2018/06/15,"235,500","8,500","635,346","149,275,878,640","233,000","237,000","231,000","16,194,047","68,764,530"
