년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2019/12/30,"541,000","0","36,232","19,631,712,000","543,000","545,000","538,000","11,877,126","21,954,022"
2019/12/27,"541,000","4,000","50,220","27,084,486,000","538,000","543,000","533,000","11,877,126","21,954,022"
2019/12/26,"537,000","4,000","43,562","23,228,236,000","535,000","537,000","530,000","11,789,310","21,954,022"
2019/12/24,"533,000","-7,000","33,551","17,937,508,000","540,000","542,000","533,000","11,701,494","21,954,022"
2019/12/23,"540,000","1,000","43,978","23,766,282,000","541,000","543,000","534,000","11,855,172","21,954,022"
2019/12/20,"539,000","6,000","65,798","35,487,332,000","535,000","543,000","533,000","11,833,218","21,954,022"
2019/12/19,"533,000","-8,000","63,932","34,139,311,000","543,000","543,000","529,000","11,701,494","21,954,022"
2019/12/18,"541,000","2,000","37,838","20,443,950,000","539,000","543,000","537,000","11,877,126","21,954,022"
2019/12/17,"539,000","-3,000","68,773","37,172,126,000","538,000","546,000","536,000","11,833,218","21,954,022"
2019/12/16,"542,000","4,000","59,733","32,200,071,000","534,000","544,000","532,000","11,899,080","21,954,022"
2019/12/13,"538,000","2,000","81,844","43,924,340,000","541,000","545,000","531,000","11,811,264","21,954,022"
2019/12/12,"536,000","-9,000","152,110","81,827,622,200","547,000","550,000","533,000","11,767,356","21,954,022"
2019/12/11,"545,000","5,000","77,125","42,046,920,000","544,000","551,000","540,000","11,964,942","21,954,022"
2019/12/10,"540,000","0","66,681","35,888,646,000","537,000","543,000","532,000","11,855,172","21,954,022"
2019/12/09,"540,000","1,000","68,853","37,039,567,000","540,000","543,000","530,000","11,855,172","21,954,022"
2019/12/06,"539,000","37,000","199,337","105,153,570,000","506,000","541,000","505,000","11,833,218","21,954,022"
2019/12/05,"502,000","2,000","118,540","59,414,614,800","501,000","506,000","497,500","11,020,919","21,954,022"
2019/12/04,"500,000","15,000","153,060","75,641,072,000","483,500","500,000","483,500","10,977,011","21,954,022"
2019/12/03,"485,000","-2,000","109,541","52,595,337,000","486,000","486,000","474,500","10,647,701","21,954,022"
2019/12/02,"487,000","-6,000","176,172","86,455,263,500","500,000","504,000","483,000","10,691,609","21,954,022"
2019/11/29,"493,000","-6,000","168,117","83,026,007,375","507,000","507,000","488,500","10,823,333","21,954,022"
2019/11/28,"499,000","-6,000","170,595","84,851,610,000","497,500","502,000","493,500","10,955,057","21,954,022"
2019/11/27,"505,000","-16,000","305,519","151,984,167,500","489,500","510,000","483,000","11,086,781","21,954,022"
2019/11/26,"521,000","-14,000","188,666","98,508,275,000","534,000","535,000","513,000","11,438,045","21,954,022"
2019/11/25,"535,000","2,000","69,441","36,994,965,000","534,000","541,000","527,000","11,745,402","21,954,022"
2019/11/22,"533,000","-8,000","58,118","31,114,524,000","539,000","546,000","528,000","11,701,494","21,954,022"
2019/11/21,"541,000","-15,000","112,569","61,223,077,000","557,000","559,000","536,000","11,877,126","21,954,022"
2019/11/20,"556,000","-5,000","53,708","29,807,571,000","555,000","561,000","550,000","12,206,436","21,954,022"
2019/11/19,"561,000","8,000","80,813","45,128,567,000","550,000","563,000","548,000","12,316,206","21,954,022"
2019/11/18,"553,000","4,000","83,408","46,053,449,060","553,000","557,000","545,000","12,140,574","21,954,022"
2019/11/15,"549,000","23,000","90,461","49,286,389,000","533,000","552,000","528,000","12,052,758","21,954,022"
2019/11/14,"526,000","3,000","57,581","30,275,281,000","530,000","530,000","521,000","11,547,816","21,954,022"
2019/11/13,"523,000","-11,000","86,729","45,234,390,000","528,000","531,000","516,000","11,481,954","21,954,022"
2019/11/12,"534,000","12,000","48,897","25,740,447,000","523,000","535,000","519,000","11,723,448","21,954,022"
2019/11/11,"522,000","-7,000","54,526","28,499,352,000","530,000","532,000","518,000","11,459,999","21,954,022"
2019/11/08,"529,000","-11,000","58,561","31,140,016,000","536,000","541,000","526,000","11,613,678","21,954,022"
2019/11/07,"540,000","1,000","49,236","26,576,646,000","540,000","544,000","537,000","11,855,172","21,954,022"
2019/11/06,"539,000","-10,000","77,336","41,976,424,838","551,000","554,000","537,000","11,833,218","21,954,022"
2019/11/05,"549,000","10,000","56,688","31,000,118,000","543,000","552,000","539,000","12,052,758","21,954,022"
2019/11/04,"539,000","1,000","52,520","28,456,727,000","539,000","547,000","536,000","11,833,218","21,954,022"
2019/11/01,"538,000","22,000","79,749","42,657,079,000","515,000","541,000","515,000","11,811,264","21,954,022"
2019/10/31,"516,000","-3,000","55,467","28,836,418,000","519,000","526,000","516,000","11,328,275","21,954,022"
2019/10/30,"519,000","6,000","72,757","37,882,197,000","527,000","528,000","516,000","11,394,137","21,954,022"
2019/10/29,"513,000","0","76,306","39,391,155,000","515,000","519,000","510,000","11,262,413","21,954,022"
2019/10/28,"513,000","-10,000","47,162","24,302,337,988","527,000","527,000","512,000","11,262,413","21,954,022"
2019/10/25,"523,000","-6,000","76,847","40,279,109,000","528,000","529,000","519,000","11,481,954","21,954,022"
2019/10/24,"529,000","6,000","42,903","22,654,893,000","523,000","532,000","522,000","11,613,678","21,954,022"
2019/10/23,"523,000","-1,000","55,185","28,772,464,800","524,000","527,000","516,000","11,481,954","21,954,022"
2019/10/22,"524,000","-10,000","50,826","26,838,086,000","533,000","537,000","523,000","11,503,908","21,954,022"
2019/10/21,"534,000","19,000","75,446","39,838,564,000","520,000","534,000","516,000","11,723,448","21,954,022"
2019/10/18,"515,000","-1,000","36,742","18,969,343,000","517,000","520,000","513,000","11,306,321","21,954,022"
2019/10/17,"516,000","10,000","67,373","34,570,826,000","511,000","517,000","505,000","11,328,275","21,954,022"
2019/10/16,"506,000","-11,000","77,584","39,378,232,000","516,000","520,000","501,000","11,108,735","21,954,022"
2019/10/15,"517,000","-1,000","29,253","15,149,243,000","521,000","522,000","514,000","11,350,229","21,954,022"
2019/10/14,"518,000","2,000","33,164","17,170,702,000","521,000","522,000","512,000","11,372,183","21,954,022"
2019/10/11,"516,000","-5,000","51,706","26,937,097,000","526,000","526,000","516,000","11,328,275","21,954,022"
2019/10/10,"521,000","0","87,767","45,614,535,000","524,000","527,000","512,000","11,438,045","21,954,022"
2019/10/08,"521,000","10,000","51,425","26,706,214,000","519,000","525,000","511,000","11,438,045","21,954,022"
2019/10/07,"511,000","5,000","45,676","23,295,670,000","509,000","515,000","506,000","11,218,505","21,954,022"
2019/10/04,"506,000","-4,000","71,827","36,455,304,000","508,000","513,000","504,000","11,108,735","21,954,022"
2019/10/02,"510,000","-16,000","68,237","35,061,338,000","526,000","526,000","508,000","11,196,551","21,954,022"
2019/10/01,"526,000","5,000","35,413","18,615,645,000","521,000","529,000","517,000","11,547,816","21,954,022"
2019/09/30,"521,000","-2,000","54,094","28,158,549,000","523,000","525,000","515,000","11,438,045","21,954,022"
2019/09/27,"523,000","-7,000","36,979","19,366,261,000","530,000","530,000","521,000","11,481,954","21,954,022"
2019/09/26,"530,000","8,000","58,345","30,643,726,000","520,000","530,000","519,000","11,635,632","21,954,022"
2019/09/25,"522,000","-5,000","55,997","29,315,864,000","528,000","529,000","516,000","11,459,999","21,954,022"
2019/09/24,"527,000","5,000","61,486","32,182,435,000","522,000","527,000","514,000","11,569,770","21,954,022"
2019/09/23,"522,000","1,000","29,218","15,254,723,000","519,000","527,000","517,000","11,459,999","21,954,022"
2019/09/20,"521,000","-4,000","92,522","48,119,218,000","520,000","526,000","516,000","11,438,045","21,954,022"
2019/09/19,"525,000","1,000","43,304","22,816,351,044","525,000","531,000","523,000","11,525,862","21,954,022"
2019/09/18,"524,000","2,000","73,000","38,356,727,448","522,000","531,000","521,000","11,503,908","21,954,022"
2019/09/17,"522,000","-6,000","61,047","31,975,940,000","523,000","528,000","519,000","11,459,999","21,954,022"
2019/09/16,"528,000","-16,000","138,992","73,587,008,782","547,000","552,000","521,000","11,591,724","21,954,022"
2019/09/11,"544,000","-7,000","160,588","87,672,565,000","553,000","553,000","543,000","11,942,988","21,954,022"
2019/09/10,"551,000","-1,000","55,423","30,593,128,030","553,000","556,000","548,000","12,096,666","21,954,022"
2019/09/09,"552,000","0","74,803","41,399,163,472","553,000","558,000","549,000","12,118,620","21,954,022"
2019/09/06,"552,000","9,000","95,754","52,595,316,000","539,000","554,000","539,000","12,118,620","21,954,022"
2019/09/05,"543,000","-8,000","131,466","71,575,022,000","544,000","550,000","540,000","11,921,034","21,954,022"
2019/09/04,"551,000","1,000","67,327","36,937,183,000","550,000","552,000","543,000","12,096,666","21,954,022"
2019/09/03,"550,000","0","58,061","31,902,618,000","549,000","552,000","547,000","12,074,712","21,954,022"
2019/09/02,"550,000","13,000","73,755","40,307,962,500","545,000","552,000","537,000","12,074,712","21,954,022"
2019/08/30,"537,000","3,000","56,457","30,305,171,000","535,000","541,000","532,000","11,789,310","21,954,022"
2019/08/29,"534,000","-5,000","42,842","22,790,158,000","539,000","539,000","529,000","11,723,448","21,954,022"
2019/08/28,"539,000","8,000","45,023","24,090,976,000","534,000","540,000","527,000","11,833,218","21,954,022"
2019/08/27,"531,000","0","67,500","35,784,180,000","534,000","534,000","527,000","11,653,603","21,946,522"
2019/08/26,"531,000","0","45,583","24,165,915,000","524,000","535,000","521,000","11,653,603","21,946,522"
2019/08/23,"531,000","-8,000","65,827","35,164,030,000","540,000","541,000","529,000","11,653,603","21,946,522"
2019/08/22,"539,000","3,000","54,112","29,126,482,000","537,000","543,000","534,000","11,829,175","21,946,522"
2019/08/21,"536,000","-3,000","81,693","43,861,490,000","539,000","541,000","532,000","11,763,336","21,946,522"
2019/08/20,"539,000","11,000","60,720","32,478,433,000","529,000","539,000","526,000","11,829,175","21,946,522"
