년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2019/12/30,"97,000","3,000","26,416","2,541,754,000","95,000","97,000","94,100","1,005,918","10,370,290"
2019/12/27,"94,000","900","29,459","2,775,676,200","93,200","95,100","93,200","974,807","10,370,290"
2019/12/26,"97,700","100","23,278","2,265,673,700","98,100","98,100","96,900","1,013,177","10,370,290"
2019/12/24,"97,600","400","24,708","2,407,533,900","96,900","98,200","96,800","1,012,140","10,370,290"
2019/12/23,"97,200","5,400","52,115","4,963,274,100","92,400","97,400","91,800","1,007,992","10,370,290"
2019/12/20,"91,800","0","17,781","1,630,489,600","92,000","92,000","91,400","951,993","10,370,290"
2019/12/19,"91,800","500","19,739","1,806,317,900","91,800","91,900","90,800","951,993","10,370,290"
2019/12/18,"91,300","-800","18,251","1,669,729,200","91,500","92,100","91,300","946,807","10,370,290"
2019/12/17,"92,100","200","14,699","1,352,468,600","91,400","92,400","91,400","955,104","10,370,290"
2019/12/16,"91,900","0","15,958","1,460,807,000","91,900","92,700","91,000","953,030","10,370,290"
2019/12/13,"91,900","-100","30,283","2,794,078,500","93,200","93,500","91,400","953,030","10,370,290"
2019/12/12,"92,000","300","36,733","3,372,481,200","92,300","92,400","91,200","954,067","10,370,290"
2019/12/11,"91,700","-800","13,694","1,258,321,900","93,100","93,100","91,500","950,956","10,370,290"
2019/12/10,"92,500","1,800","8,483","779,441,700","90,600","92,600","90,600","959,252","10,370,290"
2019/12/09,"90,700","-1,400","16,065","1,464,519,800","91,500","92,500","90,700","940,585","10,370,290"
2019/12/06,"92,100","100","9,243","849,535,200","91,200","92,500","91,200","955,104","10,370,290"
2019/12/05,"92,000","0","11,376","1,045,239,700","93,400","93,400","89,500","954,067","10,370,290"
2019/12/04,"92,000","-600","10,281","944,112,100","91,600","92,600","91,500","954,067","10,370,290"
2019/12/03,"92,600","500","15,593","1,436,781,400","92,300","92,700","91,400","960,289","10,370,290"
2019/12/02,"92,100","400","13,873","1,273,927,500","92,300","92,700","91,400","955,104","10,370,290"
2019/11/29,"91,700","-800","19,528","1,791,258,200","92,500","93,300","91,200","950,956","10,370,290"
2019/11/28,"92,500","-2,200","15,740","1,460,261,100","93,700","94,500","92,100","959,252","10,370,290"
2019/11/27,"94,700","1,200","15,225","1,436,856,800","94,000","95,400","93,000","982,066","10,370,290"
