년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2019/12/30,"153,500","0","428,587","65,428,749,500","154,000","155,000","153,000","13,233,807","86,213,726"
2019/12/27,"153,500","5,500","690,548","105,163,657,000","149,500","154,000","149,000","13,233,807","86,213,726"
2019/12/26,"148,000","1,500","320,921","47,362,289,500","146,000","148,000","146,000","12,759,631","86,213,726"
2019/12/24,"146,500","-2,000","367,817","54,009,171,000","148,000","150,000","144,500","12,630,311","86,213,726"
2019/12/23,"148,500","-1,500","283,403","42,265,782,500","151,000","151,000","148,000","12,802,738","86,213,726"
2019/12/20,"150,000","0","545,445","82,307,728,000","150,000","153,000","149,500","12,932,059","86,213,726"
2019/12/19,"150,000","-1,000","175,849","26,341,860,000","150,500","151,000","149,000","12,932,059","86,213,726"
2019/12/18,"151,000","500","252,752","38,074,088,374","150,500","152,000","149,500","13,018,273","86,213,726"
2019/12/17,"150,500","-1,000","275,832","41,468,626,000","151,500","152,000","149,500","12,975,166","86,213,726"
2019/12/16,"151,500","500","297,095","44,823,718,000","151,000","152,000","150,000","13,061,379","86,213,726"
2019/12/13,"151,000","1,500","456,822","68,348,989,000","150,500","151,000","148,500","13,018,273","86,213,726"
2019/12/12,"149,500","-500","710,378","106,284,871,000","151,000","151,500","149,000","12,888,952","86,213,726"
2019/12/11,"150,000","500","480,071","71,489,354,500","150,500","150,500","147,500","12,925,745","86,171,634"
2019/12/10,"149,500","-2,000","516,074","77,095,134,000","150,000","151,500","147,000","12,882,659","86,171,634"
2019/12/09,"151,500","-2,000","267,330","40,682,690,000","154,000","154,500","151,000","13,043,283","86,094,274"
2019/12/06,"153,500","4,000","415,390","63,049,460,500","149,000","154,000","149,000","13,212,887","86,077,437"
2019/12/05,"149,500","-6,500","841,460","126,784,835,000","155,500","156,000","148,500","12,868,577","86,077,437"
2019/12/04,"156,000","-1,000","233,141","36,230,879,000","156,000","156,000","154,500","13,428,080","86,077,437"
2019/12/03,"157,000","500","235,453","36,699,018,000","155,500","157,000","154,000","13,514,158","86,077,437"
2019/12/02,"156,500","1,000","250,192","38,851,951,500","156,000","156,500","153,500","13,471,119","86,077,437"
2019/11/29,"155,500","-1,500","471,253","73,507,531,500","156,000","159,000","153,500","13,385,041","86,077,437"
2019/11/28,"157,000","-500","218,221","34,147,748,000","156,500","157,500","155,500","13,514,158","86,077,437"
2019/11/27,"157,500","0","294,619","46,502,963,000","158,500","159,000","156,500","13,557,196","86,077,437"
2019/11/26,"157,500","1,000","361,401","56,859,843,000","157,000","158,500","156,500","13,556,666","86,074,070"
2019/11/25,"156,500","3,500","300,270","46,742,457,500","153,500","156,500","153,500","13,470,592","86,074,070"
