년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2017/12/28,"24,100","-150","116,104","2,789,724,650","24,250","24,250","23,750","1,690,220","70,133,611"
2017/12/27,"24,250","-100","235,087","5,622,787,200","23,700","24,300","23,350","1,700,740","70,133,611"
2017/12/26,"24,350","-100","248,293","6,073,727,750","24,500","24,700","24,350","1,707,753","70,133,611"
2017/12/22,"24,450","0","156,306","3,816,683,150","24,450","24,550","24,000","1,714,767","70,133,611"
2017/12/21,"24,450","-250","190,467","4,685,440,150","24,400","24,850","24,400","1,714,767","70,133,611"
2017/12/20,"24,700","550","230,892","5,690,226,800","24,150","24,800","24,150","1,732,300","70,133,611"
2017/12/19,"24,150","0","131,397","3,164,349,100","24,150","24,300","23,950","1,693,727","70,133,611"
2017/12/18,"24,150","150","128,159","3,079,493,650","24,000","24,250","23,900","1,693,727","70,133,611"
2017/12/15,"24,000","350","348,742","8,398,039,150","23,900","24,350","23,800","1,683,207","70,133,611"
2017/12/14,"23,650","300","434,671","10,481,443,750","23,500","24,450","23,450","1,658,660","70,133,611"
2017/12/13,"23,350","-250","364,665","8,554,152,350","23,550","23,800","23,250","1,637,620","70,133,611"
2017/12/12,"23,600","-250","107,795","2,547,765,750","23,650","23,950","23,450","1,655,153","70,133,611"
2017/12/11,"23,850","500","128,013","3,032,622,700","23,250","23,850","23,200","1,672,687","70,133,611"
2017/12/08,"23,350","-350","237,149","5,543,748,650","23,750","23,950","23,200","1,637,620","70,133,611"
2017/12/07,"23,700","-150","118,126","2,819,464,950","24,050","24,100","23,600","1,662,167","70,133,611"
2017/12/06,"23,850","-500","175,649","4,205,221,350","24,000","24,250","23,750","1,672,687","70,133,611"
2017/12/05,"24,350","400","209,028","5,030,301,050","24,050","24,350","23,650","1,707,753","70,133,611"
2017/12/04,"23,950","750","248,053","5,914,910,450","23,350","24,000","23,300","1,679,700","70,133,611"
2017/12/01,"23,200","-500","193,226","4,484,270,100","23,700","23,700","22,900","1,627,100","70,133,611"
2017/11/30,"23,700","150","142,531","3,368,612,250","23,750","23,750","23,450","1,662,167","70,133,611"
2017/11/29,"23,550","-700","265,029","6,290,028,850","24,250","24,350","23,450","1,651,647","70,133,611"
2017/11/28,"24,250","-300","84,210","2,044,641,850","24,550","24,600","24,150","1,700,740","70,133,611"
2017/11/27,"24,550","450","120,883","2,950,646,550","24,100","24,600","24,050","1,721,780","70,133,611"
2017/11/24,"24,100","-100","161,483","3,900,191,600","24,300","24,350","24,050","1,690,220","70,133,611"
2017/11/23,"24,200","-600","275,351","6,707,989,350","24,650","24,850","24,200","1,697,233","70,133,611"
2017/11/22,"24,800","-350","205,792","5,093,882,650","25,150","25,250","24,600","1,739,314","70,133,611"
2017/11/21,"25,150","150","126,235","3,183,663,000","25,000","25,500","25,000","1,763,860","70,133,611"
2017/11/20,"25,000","-150","107,704","2,701,084,350","25,000","25,350","24,900","1,753,340","70,133,611"
2017/11/17,"25,150","200","199,770","4,981,680,350","24,950","25,150","24,600","1,763,860","70,133,611"
2017/11/16,"24,950","-200","132,749","3,322,879,500","25,250","25,250","24,900","1,749,834","70,133,611"
2017/11/15,"25,150","-100","255,437","6,420,436,950","25,300","25,350","24,950","1,763,860","70,133,611"
2017/11/14,"25,250","-300","394,095","9,920,933,900","25,800","25,800","24,800","1,770,874","70,133,611"
2017/11/13,"25,550","100","69,827","1,788,568,450","25,650","25,750","25,350","1,791,914","70,133,611"
2017/11/10,"25,450","-300","149,812","3,804,100,150","25,600","25,900","25,200","1,784,900","70,133,611"
2017/11/09,"25,750","-400","208,440","5,379,757,050","26,200","26,250","25,600","1,805,940","70,133,611"
2017/11/08,"26,150","550","206,236","5,349,429,700","25,450","26,200","25,400","1,833,994","70,133,611"
2017/11/07,"25,600","350","128,988","3,298,430,050","25,250","25,750","25,250","1,795,420","70,133,611"
2017/11/06,"25,250","100","128,927","3,258,519,100","25,200","25,500","25,000","1,770,874","70,133,611"
2017/11/03,"25,150","0","194,673","4,881,630,900","25,200","25,550","24,800","1,763,860","70,133,611"
2017/11/02,"25,150","-1,000","272,881","6,894,232,200","26,100","26,100","24,950","1,763,860","70,133,611"
2017/11/01,"26,150","-450","238,526","6,206,336,150","26,150","26,650","25,750","1,833,994","70,133,611"
2017/10/31,"26,600","-300","148,168","3,965,691,100","26,900","27,050","26,550","1,865,554","70,133,611"
2017/10/30,"26,900","-250","124,955","3,348,896,250","27,000","27,000","26,600","1,886,594","70,133,611"
2017/10/27,"27,150","500","270,061","7,297,662,450","26,450","27,200","26,450","1,904,128","70,133,611"
2017/10/26,"26,650","200","143,680","3,808,245,800","26,450","26,750","26,100","1,869,061","70,133,611"
2017/10/25,"26,450","50","155,091","4,100,649,400","26,300","26,650","25,950","1,855,034","70,133,611"
2017/10/24,"26,400","300","149,381","3,948,973,900","26,150","26,550","26,100","1,851,527","70,133,611"
2017/10/23,"26,100","350","173,779","4,534,579,900","25,950","26,250","25,950","1,830,487","70,133,611"
2017/10/20,"25,750","450","504,432","13,127,068,900","25,400","26,700","25,350","1,805,940","70,133,611"
2017/10/19,"25,300","150","155,254","3,924,892,600","25,050","25,500","25,000","1,774,380","70,133,611"
2017/10/18,"25,150","-150","236,161","5,918,080,700","25,350","25,400","24,950","1,763,860","70,133,611"
2017/10/17,"25,300","-100","229,391","5,773,494,950","25,650","25,700","24,900","1,774,380","70,133,611"
2017/10/16,"25,400","-1,350","879,409","21,820,403,750","25,350","25,850","23,850","1,781,394","70,133,611"
2017/10/13,"26,750","250","155,923","4,153,626,700","26,400","26,950","26,400","1,876,074","70,133,611"
2017/10/12,"26,500","-400","280,469","7,457,828,600","26,650","26,850","26,350","1,858,541","70,133,611"
2017/10/11,"26,900","200","199,622","5,370,160,050","26,900","27,100","26,500","1,886,594","70,133,611"
2017/10/10,"26,700","400","178,900","4,746,069,850","26,300","26,750","26,000","1,872,567","70,133,611"
2017/09/29,"26,300","200","182,629","4,781,924,200","26,100","26,300","26,050","1,844,514","70,133,611"
2017/09/28,"26,100","300","252,728","6,554,226,450","25,850","26,200","25,600","1,830,487","70,133,611"
2017/09/27,"25,800","550","250,253","6,415,773,100","25,250","25,850","25,250","1,809,447","70,133,611"
2017/09/26,"25,250","-200","162,559","4,113,382,600","25,400","25,600","25,100","1,770,874","70,133,611"
2017/09/25,"25,450","-50","226,899","5,776,685,400","25,500","25,600","25,350","1,784,900","70,133,611"
2017/09/22,"25,500","0","212,178","5,377,170,550","25,300","25,550","25,050","1,788,407","70,133,611"
2017/09/21,"25,500","300","286,981","7,263,897,850","25,050","25,600","24,900","1,788,407","70,133,611"
2017/09/20,"25,200","550","322,529","8,096,529,500","24,850","25,250","24,850","1,767,367","70,133,611"
2017/09/19,"24,650","-200","173,843","4,274,058,250","24,750","24,950","24,450","1,728,794","70,133,611"
2017/09/18,"24,850","-450","137,761","3,430,450,850","25,300","25,300","24,800","1,742,820","70,133,611"
2017/09/15,"25,300","-50","128,541","3,253,199,450","25,300","25,450","25,100","1,774,380","70,133,611"
2017/09/14,"25,350","300","135,853","3,424,151,400","24,800","25,350","24,750","1,777,887","70,133,611"
2017/09/13,"25,050","400","169,512","4,231,658,950","24,700","25,250","24,550","1,756,847","70,133,611"
2017/09/12,"24,650","-350","209,796","5,178,702,500","25,100","25,150","24,450","1,728,794","70,133,611"
2017/09/11,"25,000","-200","130,021","3,273,592,450","25,350","25,550","24,900","1,753,340","70,133,611"
2017/09/08,"25,200","-600","127,596","3,220,246,300","25,600","25,750","24,950","1,767,367","70,133,611"
2017/09/07,"25,800","1,250","399,854","10,257,366,100","24,900","25,900","24,800","1,809,447","70,133,611"
2017/09/06,"24,550","0","111,554","2,751,162,850","24,700","24,950","24,500","1,721,780","70,133,611"
2017/09/05,"24,550","-350","171,641","4,198,401,150","24,950","25,000","24,200","1,721,780","70,133,611"
2017/09/04,"24,900","50","183,360","4,551,861,100","24,250","25,200","24,200","1,746,327","70,133,611"
2017/09/01,"24,850","-1,250","391,167","9,949,808,050","26,450","26,450","24,800","1,742,820","70,133,611"
2017/08/31,"26,100","150","136,488","3,544,707,850","26,050","26,100","25,700","1,830,487","70,133,611"
2017/08/30,"25,950","100","185,635","4,797,961,550","25,750","26,150","25,450","1,819,967","70,133,611"
2017/08/29,"25,850","0","127,253","3,282,367,750","25,700","25,900","25,600","1,812,954","70,133,611"
2017/08/28,"25,850","-100","111,320","2,872,689,050","25,750","26,050","25,700","1,812,954","70,133,611"
2017/08/25,"25,950","-200","130,773","3,379,668,450","26,200","26,250","25,700","1,819,967","70,133,611"
2017/08/24,"26,150","500","305,405","7,986,712,650","25,650","26,400","25,650","1,833,994","70,133,611"
2017/08/23,"25,650","-250","255,235","6,515,935,100","26,000","26,000","25,300","1,798,927","70,133,611"
