년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2018/12/28,"31,900","1,000","454,925","14,463,605,400","30,950","32,150","30,950","3,109,456","97,475,107"
2018/12/27,"30,900","150","318,711","9,914,384,300","31,100","31,500","30,800","3,011,981","97,475,107"
2018/12/26,"30,750","-1,150","611,395","18,953,163,200","31,450","31,600","30,550","2,997,360","97,475,107"
2018/12/24,"31,900","-300","230,654","7,361,926,700","32,100","32,200","31,700","3,109,456","97,475,107"
2018/12/21,"32,200","400","378,321","12,090,236,950","31,850","32,200","31,600","3,138,698","97,475,107"
2018/12/20,"31,800","0","347,822","11,075,578,300","31,700","32,250","31,300","3,099,708","97,475,107"
2018/12/19,"31,800","100","343,791","10,924,951,850","31,900","31,950","31,400","3,099,708","97,475,107"
2018/12/18,"31,700","200","289,859","9,164,890,950","31,100","31,950","31,050","3,089,961","97,475,107"
2018/12/17,"31,500","-450","359,293","11,352,349,900","32,050","32,100","31,400","3,070,466","97,475,107"
2018/12/14,"31,950","-300","403,951","12,865,238,250","32,400","32,400","31,500","3,114,330","97,475,107"
2018/12/13,"32,250","650","808,302","26,096,396,800","31,650","32,600","31,600","3,143,572","97,475,107"
2018/12/12,"31,600","400","454,083","14,155,014,400","31,000","31,650","30,750","3,080,213","97,475,107"
2018/12/11,"31,200","-150","300,075","9,402,212,600","31,350","31,650","31,150","3,041,223","97,475,107"
2018/12/10,"31,350","-650","391,300","12,228,443,250","31,450","31,600","31,000","3,055,845","97,475,107"
2018/12/07,"32,000","300","311,452","9,977,532,150","31,950","32,300","31,700","3,119,203","97,475,107"
2018/12/06,"31,700","-500","434,322","13,904,159,100","32,400","32,550","31,600","3,089,961","97,475,107"
2018/12/05,"32,200","-200","578,902","18,746,273,100","32,800","32,800","32,000","3,138,698","97,475,107"
2018/12/04,"32,400","300","574,306","18,562,809,850","32,150","32,600","31,850","3,158,193","97,475,107"
2018/12/03,"32,100","400","401,665","12,877,506,900","31,950","32,250","31,800","3,128,951","97,475,107"
2018/11/30,"31,700","-250","365,732","11,632,413,000","31,850","32,200","31,500","3,089,961","97,475,107"
2018/11/29,"31,950","-350","559,587","18,061,591,600","32,850","32,900","31,900","3,114,330","97,475,107"
2018/11/28,"32,300","100","447,026","14,417,452,050","32,450","32,450","31,950","3,148,446","97,475,107"
2018/11/27,"32,200","250","383,159","12,322,295,400","32,250","32,450","31,950","3,138,698","97,475,107"
2018/11/26,"31,950","500","397,748","12,723,345,100","31,450","32,250","31,450","3,114,330","97,475,107"
2018/11/23,"31,450","-550","362,300","11,431,392,950","31,950","32,100","31,300","3,065,592","97,475,107"
2018/11/22,"32,000","-650","489,137","15,730,144,000","32,800","32,900","31,850","3,119,203","97,475,107"
2018/11/21,"32,650","750","815,164","26,414,743,500","31,700","32,900","31,400","3,182,562","97,475,107"
2018/11/20,"31,900","-1,150","1,912,646","62,852,873,400","32,600","34,100","31,850","3,109,456","97,475,107"
2018/11/19,"33,050","2,100","1,585,861","51,451,314,550","31,050","33,100","31,000","3,221,552","97,475,107"
2018/11/16,"30,950","200","582,258","17,944,897,150","31,100","31,100","30,550","3,016,855","97,475,107"
2018/11/15,"30,750","-1,850","2,595,791","78,979,104,100","31,550","31,900","29,650","2,997,360","97,475,107"
