년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2019/12/30,"40,000","200","5,864,939","245,355,884,650","43,500","44,600","40,000","2,366,818","59,170,458"
2019/12/27,"39,800","1,100","7,185,102","289,665,449,900","38,250","42,050","38,250","2,354,984","59,170,458"
2019/12/26,"38,700","-4,200","4,859,653","196,320,555,850","42,750","43,300","38,350","2,289,897","59,170,458"
2019/12/24,"42,900","-3,300","12,581,857","586,407,543,150","47,750","50,500","42,900","2,538,413","59,170,458"
2019/12/23,"46,200","7,700","9,527,785","421,113,058,200","38,300","46,750","37,100","2,733,675","59,170,458"
2019/12/20,"38,500","350","694,649","26,428,432,800","38,000","38,600","37,300","2,278,063","59,170,458"
2019/12/19,"38,150","-1,500","680,357","26,199,981,750","39,300","39,700","37,950","2,257,353","59,170,458"
2019/12/18,"39,650","-850","743,847","29,790,133,050","40,900","41,150","39,400","2,346,109","59,170,458"
2019/12/17,"40,500","350","693,046","27,964,563,950","40,300","40,900","39,950","2,396,404","59,170,458"
2019/12/16,"40,150","-550","752,498","30,283,348,400","41,000","41,350","39,200","2,375,694","59,170,458"
2019/12/13,"40,700","-50","557,659","22,659,293,800","40,900","41,050","40,150","2,408,238","59,170,458"
2019/12/12,"40,750","100","527,664","21,491,771,200","40,850","41,500","40,300","2,411,196","59,170,458"
2019/12/11,"40,650","600","746,618","30,668,505,300","40,050","41,950","39,850","2,405,279","59,170,458"
2019/12/10,"40,050","1,250","608,554","24,216,201,650","38,200","40,300","38,200","2,369,777","59,170,458"
2019/12/09,"38,800","-650","1,246,582","47,344,620,850","39,100","40,200","36,700","2,295,814","59,170,458"
2019/12/06,"39,450","-600","1,074,641","43,899,979,200","40,200","42,600","39,350","2,334,275","59,170,458"
2019/12/05,"40,050","1,350","752,356","29,788,767,150","38,700","40,400","38,150","2,369,777","59,170,458"
2019/12/04,"38,700","1,500","612,087","23,482,977,250","37,050","39,100","37,000","2,289,897","59,170,458"
2019/12/03,"37,200","250","366,444","13,574,895,700","37,000","37,550","36,650","2,201,141","59,170,458"
2019/12/02,"36,950","1,100","579,474","21,125,790,900","35,950","37,400","35,450","2,186,348","59,170,458"
2019/11/29,"35,850","-300","540,449","19,389,332,750","36,150","36,650","35,300","2,121,261","59,170,458"
2019/11/28,"36,150","2,600","1,027,608","36,154,648,150","33,700","36,450","33,550","2,139,012","59,170,458"
2019/11/27,"33,550","50","223,536","7,521,719,500","33,550","34,300","33,300","1,985,169","59,170,458"
2019/11/26,"33,500","600","279,371","9,295,529,450","32,850","33,800","32,650","1,982,210","59,170,458"
2019/11/25,"32,900","50","151,341","4,963,913,550","32,900","33,150","32,550","1,946,708","59,170,458"
2019/11/22,"32,850","0","190,279","6,234,937,400","32,850","33,150","32,250","1,943,750","59,170,458"
2019/11/21,"32,850","-200","212,255","6,958,921,400","33,050","33,450","32,300","1,943,750","59,170,458"
2019/11/20,"33,050","-950","365,660","12,258,283,250","34,500","34,600","33,000","1,955,584","59,170,458"
2019/11/19,"34,000","850","346,258","11,703,079,450","33,150","34,050","33,100","2,011,796","59,170,458"
2019/11/18,"33,150","-150","188,620","6,223,076,900","33,550","33,550","32,700","1,961,501","59,170,458"
2019/11/15,"33,300","650","373,927","12,358,187,200","32,400","33,900","32,000","1,970,376","59,170,458"
2019/11/14,"32,650","-350","191,357","6,239,850,250","33,000","33,350","32,250","1,931,915","59,170,458"
2019/11/13,"33,000","1,150","366,133","12,003,978,850","32,050","33,300","32,000","1,952,625","59,170,458"
2019/11/12,"31,850","-350","197,053","6,282,692,500","31,800","32,400","31,450","1,884,579","59,170,458"
2019/11/11,"32,200","-1,250","260,379","8,485,889,450","33,500","33,550","32,200","1,905,289","59,170,458"
2019/11/08,"33,450","250","215,340","7,176,136,600","33,050","33,650","32,900","1,979,252","59,170,458"
2019/11/07,"33,200","-600","776,045","26,273,114,200","33,750","35,100","32,800","1,964,459","59,170,458"
2019/11/06,"33,800","1,650","726,332","24,237,618,150","32,500","34,100","32,150","1,999,961","59,170,458"
2019/11/05,"32,150","0","298,210","9,612,384,150","32,200","32,800","31,750","1,902,330","59,170,458"
2019/11/04,"32,150","2,200","962,980","30,975,467,550","30,300","34,150","30,150","1,902,330","59,170,458"
2019/11/01,"29,950","-350","259,134","7,754,679,750","30,400","30,450","29,500","1,772,155","59,170,458"
2019/10/31,"30,300","-950","349,824","10,771,545,900","31,750","32,000","30,150","1,792,865","59,170,458"
2019/10/30,"31,250","1,350","509,950","15,913,394,450","29,650","32,150","29,650","1,849,077","59,170,458"
2019/10/29,"29,900","-200","108,546","3,257,689,550","30,100","30,350","29,900","1,769,197","59,170,458"
2019/10/28,"30,100","100","85,920","2,580,223,350","29,850","30,250","29,850","1,781,031","59,170,458"
2019/10/25,"30,000","-500","141,751","4,273,058,100","30,400","30,650","29,750","1,775,114","59,170,458"
2019/10/24,"30,500","-650","390,022","11,817,289,650","31,000","31,100","29,750","1,804,699","59,170,458"
2019/10/23,"31,150","0","206,268","6,394,424,150","31,000","31,200","30,850","1,843,160","59,170,458"
2019/10/22,"31,150","0","220,475","6,851,481,650","31,100","31,500","30,750","1,843,160","59,170,458"
2019/10/21,"31,150","-50","180,818","5,629,337,450","31,300","31,600","30,850","1,843,160","59,170,458"
2019/10/18,"31,200","-250","414,531","13,206,445,850","31,550","32,300","31,200","1,846,118","59,170,458"
2019/10/17,"31,450","550","224,483","7,034,355,700","31,150","31,650","31,050","1,860,911","59,170,458"
2019/10/16,"30,900","-50","397,698","12,392,373,650","31,100","31,600","30,500","1,828,367","59,170,458"
2019/10/15,"30,950","-150","260,525","8,102,768,500","31,050","31,400","30,750","1,831,326","59,170,458"
2019/10/14,"31,100","1,100","711,617","21,961,289,500","30,500","31,450","30,050","1,840,201","59,170,458"
2019/10/11,"30,000","1,100","620,843","18,444,311,200","29,000","30,650","28,700","1,775,114","59,170,458"
2019/10/10,"28,900","-750","1,134,049","33,321,370,900","31,400","31,650","28,300","1,710,026","59,170,458"
2019/10/08,"29,650","1,000","470,675","13,986,942,300","28,650","29,850","28,650","1,754,404","59,170,458"
2019/10/07,"28,650","450","174,450","4,960,673,000","28,200","28,700","28,000","1,695,234","59,170,458"
2019/10/04,"28,200","-350","143,437","4,041,518,800","28,600","28,700","27,950","1,668,607","59,170,458"
2019/10/02,"28,550","200","257,064","7,355,313,250","28,350","28,950","28,050","1,689,317","59,170,458"
