년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2018/12/28,"118,500","0","398,062","47,289,560,500","118,500","120,000","117,500","25,319,680","213,668,187"
2018/12/27,"118,500","-1,500","458,613","54,529,979,000","118,000","120,000","117,500","25,319,680","213,668,187"
2018/12/26,"120,000","-3,000","550,552","66,075,410,000","121,500","122,000","118,500","25,640,182","213,668,187"
2018/12/24,"123,000","500","301,455","37,113,745,500","122,000","124,000","121,500","26,281,187","213,668,187"
2018/12/21,"122,500","1,000","643,918","78,512,115,500","120,500","122,500","119,500","26,174,353","213,668,187"
2018/12/20,"121,500","-1,500","682,779","83,684,515,326","121,500","124,500","120,500","25,960,685","213,668,187"
2018/12/19,"123,000","5,000","841,175","102,074,507,500","118,500","123,500","118,500","26,281,187","213,668,187"
2018/12/18,"118,000","1,500","889,260","105,259,141,000","117,500","120,000","116,000","25,212,846","213,668,187"
2018/12/17,"116,500","0","602,835","69,345,391,000","115,000","118,500","112,500","24,892,344","213,668,187"
2018/12/14,"116,500","-2,000","534,429","62,704,131,500","119,000","120,000","115,000","24,892,344","213,668,187"
2018/12/13,"118,500","0","1,093,587","129,608,877,000","116,500","120,000","116,500","25,319,680","213,668,187"
2018/12/12,"118,500","7,000","1,558,536","184,993,177,720","111,500","121,500","111,000","25,319,680","213,668,187"
2018/12/11,"111,500","1,000","372,363","41,100,711,500","109,500","112,500","108,500","23,824,003","213,668,187"
2018/12/10,"110,500","-500","367,098","40,415,995,500","108,500","111,000","108,500","23,610,335","213,668,187"
2018/12/07,"111,000","500","566,780","62,793,931,315","110,000","112,000","109,500","23,717,169","213,668,187"
2018/12/06,"110,500","3,000","896,541","99,357,641,000","107,500","112,500","106,000","23,610,335","213,668,187"
2018/12/05,"107,500","0","519,108","55,850,891,500","106,000","108,500","106,000","22,969,330","213,668,187"
2018/12/04,"107,500","-1,000","612,079","65,463,463,228","108,500","108,500","105,500","22,969,330","213,668,187"
2018/12/03,"108,500","1,500","723,565","78,386,090,517","108,500","109,000","106,500","23,182,998","213,668,187"
2018/11/30,"107,000","7,000","3,017,114","320,622,891,000","103,000","108,000","102,500","22,862,496","213,668,187"
2018/11/29,"100,000","-1,000","811,011","81,710,222,300","102,000","103,000","99,100","21,366,819","213,668,187"
2018/11/28,"101,000","0","602,728","60,523,148,878","100,500","101,500","99,800","21,580,487","213,668,187"
