dong,starbucks,X,Y,subway,pop0,pop10,pop20,pop30,pop40,pop50,pop60,pop70,poptotal,landprice,0,1,INTO,FN,FT
가락1동,1,965545.7627,1943982.898,-0.097547724,-1.932792374,-1.80989704,-1.370076265,-1.530275061,-1.698234449,-1.766252047,-1.848083306,-1.874831484,4189.393237,0.475394637,0.613864056,0.386135944,0,TRUE,FALSE
가락2동,1,967105.3571,1944185.607,-0.641954206,0.529621342,0.45271055,-0.179103114,-0.008592194,0.232686064,0.460921302,0.321633784,0.100834932,17018.696,0.475394637,0.517410168,0.482589832,0,TRUE,FALSE
가락본동,1,966426.1364,1944247.295,-0.43661375,0.307151088,0.046504399,-0.185217604,0.132605385,0.330204502,0.615742966,0.31810735,0.000582636,16947.25499,0.475394637,0.483617596,0.516382404,1,FALSE,FALSE
가리봉동,0,946320,1942379,1.005156428,-1.014897371,-1.095017027,0.321374056,0.591232939,0.104859651,-0.259925911,-0.725253632,-0.859584078,14553.9922,-0.648224567,0.308842157,0.691157843,1,FALSE,TRUE
가산동,1,945631.8182,1942144.455,-0.406406905,-1.549775441,-1.31209318,1.435409088,2.277274729,1.577145049,0.388998665,-0.820906495,-1.321244769,19292.79227,-0.294492595,0.025741347,0.974258653,1,FALSE,FALSE
가양1동,1,941331.5126,1952187.655,-0.457242293,-1.361746504,-1.361571261,-1.003009108,-1.067176998,-1.244699175,-1.289474951,-1.460741585,-1.438690441,7251.046739,-0.315300358,0.591372305,0.408627695,0,TRUE,FALSE
가양2동,0,942783.871,1952055.452,-0.072223039,-0.118131239,-0.493830375,-0.288462596,0.055315835,-0.350519054,0.317997627,0.467201507,0.809771056,15989.33177,-0.315300358,0.747587875,0.252412125,0,FALSE,FALSE
가양3동,1,943450,1951520.429,-0.450293324,0.052285017,-0.761257047,-0.172514143,0.277517798,-0.220057998,-0.013048073,-0.094675025,0.113753519,15252.68457,-0.315300358,0.54785027,0.45214973,0,TRUE,FALSE
가회동,1,954725,1953249,-1.100006979,-1.079980777,-0.736488733,0.147269106,1.083125544,0.511041413,-0.173177621,-0.610380052,-0.118599956,16200.9195,-0.003183913,0.194963471,0.805036529,1,FALSE,FALSE
갈현1동,1,948807.1429,1958220.429,-0.356339784,1.201967987,1.887393426,1.165303672,0.823329167,1.149241931,1.808301021,2.102206791,2.509293999,26259.69357,-0.388127529,0.625787466,0.374212534,0,TRUE,FALSE
갈현2동,0,948124.0741,1957397.148,0.311484128,1.105867457,1.334077881,-0.061610748,0.121944229,0.35470691,0.563935487,0.656918487,0.891836743,19228.53856,-0.388127529,0.702575213,0.297424787,0,FALSE,FALSE
강일동,1,971264.0411,1951238.726,1.625464559,-0.510890594,-0.492677109,-0.85233235,-0.708953583,-0.690440174,-0.840814446,-0.908768812,-0.998881341,10475.13087,-0.934331308,0.733465354,0.266534646,0,TRUE,FALSE
개봉1동,0,942843.1818,1944494.455,0.169982815,-0.374751838,-0.59314882,-0.700316404,-0.73886623,-0.75711546,-0.672948948,-0.480190904,-0.767181547,11207.3935,-0.752263382,0.721841507,0.278158493,0,FALSE,FALSE
개봉2동,0,943418.1818,1943930.818,-0.582656214,2.098146453,0.513006329,-0.012309076,0.417255138,0.425316221,0.697342238,1.52504994,0.61697447,20150.62909,-0.752263382,0.759135437,0.240864563,0,FALSE,FALSE
