,dong,starbucks,X,Y,subway,pop0,pop10,pop20,pop30,pop40,pop50,pop60,pop70,poptotal,landprice,0,1,INTO,miss
297,월곡1동,1.0,958842.5,1956432.75,0.241558689,-0.004330369000000001,-0.328205381,-0.6688694860000001,-0.579570011,-0.428926006,-0.431026781,-0.32344944600000003,-0.403082939,12682.64073,0.308932533,0.6351784979999999,0.364821502,0.0,1
5,가양1동,1.0,941331.5126,1952187.655,-0.45724229299999997,-1.361746504,-1.361571261,-1.0030091079999999,-1.0671769979999999,-1.244699175,-1.2894749509999999,-1.460741585,-1.4386904409999999,7251.046739,-0.315300358,0.591372305,0.408627695,0.0,1
194,성북동,1.0,956426.4706,1954696.0590000001,-0.46471014200000005,-0.594476115,-0.25992651,-0.37880249899999996,-0.681134075,-0.688183161,-0.7627297209999999,-0.800763852,-0.472607372,11847.652759999999,-0.159242135,0.547035888,0.45296411200000003,0.0,1
205,송중동,1.0,958594.2623,1957487.525,-0.43735690299999996,0.358236293,0.49160995700000004,0.139394477,0.017493762,0.274046833,0.62964642,0.620050391,0.865706579,18425.20174,-0.273684832,0.59826233,0.40173767,0.0,1
11,강일동,1.0,971264.0411,1951238.726,1.625464559,-0.510890594,-0.492677109,-0.85233235,-0.708953583,-0.690440174,-0.840814446,-0.908768812,-0.9988813409999999,10475.13087,-0.934331308,0.733465354,0.26653464600000004,0.0,1
17,개포4동,1.0,960328.2609,1941864.217,1.8703913630000002,-1.277759729,-1.1178063459999998,-0.92825369,-0.872711082,-1.022681369,-1.218328812,-1.219181887,-1.5363611069999998,8157.975651999999,1.141243054,0.593589381,0.406410619,0.0,1
350,중곡2동,0.0,963202.9412,1950882.824,-0.50072166,0.415818124,-0.025055976,0.357691541,0.652610791,0.313304558,0.629319365,0.6879767840000001,0.268903989,18817.02135,0.100854902,0.483523284,0.516476716,1.0,1
412,흑석동,1.0,952641.6667,1945374.0,-0.220527329,-1.01807527,-0.760423675,-0.400029684,-0.974489077,-1.105838442,-1.220936753,-1.098451564,-0.961278557,9593.43725,0.225701481,0.531463778,0.468536222,0.0,1
250,신정6동,1.0,944641.6667,1946224.0,0.40721989399999997,-1.114983865,-0.5971592720000001,-1.128216342,-1.3038787520000001,-1.027321016,-1.259263236,-1.4755072009999999,-1.467651069,7603.658332999999,-0.518176048,0.653035066,0.346964934,0.0,1
118,문정1동,1.0,966917.5,1943254.833,-0.09408296099999999,0.138586326,-0.016491356999999998,-0.39090269,-0.24790399,-0.31356714199999997,-0.049394315,-0.095516597,-0.578134247,14195.56315,0.6210489779999999,0.57355298,0.42644702,0.0,1
