dong,starbucks,X,Y,subway,pop0,pop10,pop20,pop30,pop40,pop50,pop60,pop70,poptotal,landprice
가락1동,1,965545.7627,1943982.898,417.0362371,255.5917288,291.9733729,428.4721186,582.0839661,643.1260339,736.0434576,659.6205763,592.4819831,4189.393237,100.429
가락2동,1,967105.3571,1944185.607,236.751535,1379.994786,1784.496857,2144.004089,2402.122304,2487.333,2514.138161,2212.533911,2094.072893,17018.696,100.429
가락본동,1,966426.1364,1944247.295,304.7517226,1278.409,1516.543977,2135.1965,2571.004409,2580.472091,2637.742182,2210.009966,2017.876864,16947.25499,100.429
가리봉동,0,946320,1942379,782.2058233,674.7268,763.5422,2864.9142,3119.5548,2365.247,1938.6398,1463.254,1364.1134,14553.9922,100.321
가산동,1,945631.8182,1942144.455,314.7549689,430.4873636,620.3484545,4469.621,5136.177818,3771.415182,2456.717727,1394.793182,1013.231545,19292.79227,100.355
가양1동,1,941331.5126,1952187.655,297.9204104,516.3463361,587.7103613,957.2123697,1135.981395,1076.294,1116.685059,936.8494034,923.9678151,7251.046739,100.353
가양2동,0,942783.871,1952055.452,425.4227157,1084.213871,1160.113484,1986.47771,2478.560742,1930.318387,2400.033065,2316.719871,2632.894645,15989.33177,100.353
가양3동,1,943450,1951520.429,300.2216188,1162.030429,983.7061429,2153.495143,2744.329714,2054.920714,2135.738143,1914.572714,2103.891571,15252.68457,100.353
가회동,1,954725,1953249,85.06357655,645.008,1000.0445,2614.1255,3707.8925,2753.188,2007.8965,1545.4715,1927.293,16200.9195,100.383
갈현1동,1,948807.1429,1958220.429,331.3351094,1687.006,2730.881857,4080.548857,3397.158,3362.728286,3589.837429,3486.928429,3924.604714,26259.69357,100.346
갈현2동,0,948124.0741,1957397.148,552.4905126,1643.123963,2365.88863,2313.245444,2558.252926,2603.874148,2596.380963,2452.504407,2695.268074,19228.53856,100.346
강일동,1,971264.0411,1951238.726,987.6259833,904.869589,1160.874233,1174.254034,1564.441466,1605.662404,1474.87939,1331.908226,1258.241527,10475.13087,100.2935
개봉1동,0,942843.1818,1944494.455,505.6311845,967.0341364,1094.598318,1393.224727,1528.663864,1541.981364,1608.897136,1638.650682,1434.343273,11207.3935,100.311
개봉2동,0,943418.1818,1943930.818,256.3885548,2096.224727,1824.270818,2384.261818,2911.465273,2671.312545,2702.888091,3073.844818,2486.361,20150.62909,100.311
개봉3동,0,943100,1943249,774.7439185,1247.354,1195.429,1306.622,1594.647,1750.320333,1848.879667,1729.989,1697.980333,12371.22133,100.311
개포1동,0,960846.3415,1942335.585,856.6676583,296.5869512,461.4367317,731.821122,897.0530976,915.443122,1082.147512,1019.055902,823.1375854,6226.682024,100.493
개포2동,0,961912.2449,1942994.918,463.0271133,473.4400918,1033.534684,1119.244653,1267.68499,1464.117112,1565.852663,1455.531816,1153.60049,9533.0065,100.4315
개포4동,1,960328.2609,1941864.217,1068.735517,554.696913,748.5092826,1064.893478,1368.57613,1288.341457,1173.485565,1109.738891,849.7339348,8157.975652,100.493
거여1동,0,968400,1943962.889,241.3836202,1221.343333,1825.062333,1711.406889,1994.206389,2256.793889,2343.262556,2233.509667,2207.283111,15792.86817,100.655
거여2동,0,968575,1943706.5,222.8541172,1492.99005,2004.71375,1830.50095,2480.2994,2618.3009,2540.7175,2416.79615,2387.5265,17771.8452,100.655
고덕1동,0,969145.7317,1950977.659,432.7582956,1235.663646,1574.961012,1235.227451,1547.211805,1742.499366,1621.313244,1508.461671,1377.167512,11842.50571,100.242
고덕2동,0,970229.8701,1951083.416,365.4209945,461.9557013,909.1732078,790.2998052,819.1764026,998.4033896,1036.310753,964.1673766,921.8472727,6901.333909,100.242
고척1동,0,943667.1053,1944514.789,400.2989237,1293.371789,1842.770184,2078.143711,2015.710474,2098.500605,1939.235158,1779.560342,1388.986158,14436.27842,100.311
고척2동,0,943450,1945374,865.7362493,1352.90525,1601.53,1594.3955,1931.83025,2140.33575,2060.942,1968.97175,1628.35475,14279.26525,100.311
공덕동,1,951931.25,1949910.719,244.2604703,1781.113656,1738.555734,2856.299328,3469.337406,3143.382969,2846.331266,2528.703891,2618.050016,20981.77427,100.27025
공릉1동,1,962356.875,1958290.875,236.3873353,1532.51135,1880.989113,2859.537687,2783.92485,2739.545338,2907.73625,2775.766737,2505.8061,19985.81743,100.332
