시군구명,행정동코드,행정동명,지번코드,건물관리번호,경도,위도
용산구,1117065000,이태원1동,1117013000201270006,1117013000101270029009542,126.99478127566401,37.5343029422413
종로구,1111061500,종로1.2.3.4가동,1111015600200090003,1111015600100090003016323,126.99020724045499,37.570585018689606
서초구,1165054000,잠원동,1165010600200280001,1165010600100280001019301,127.019762756075,37.5136626341355
영등포구,1156054000,여의동,1156011000200230000,1156011000100230000000001,126.924863083917,37.5251722235016
강남구,1168058000,삼성1동,1168010500201680026,1168010500101680026016641,127.063878213052,37.5100378471739
관악구,1162064500,서원동,1162010200216410002,1162010200116410002000002,126.930215862294,37.4838447505118
관악구,1162069500,신림동,1162010200214220035,1162010200114220037013287,126.930487328505,37.484631121894395
강동구,1174061000,천호2동,1174010900204540060,1174010900104540060011660,127.127021430163,37.538787576544706
마포구,1144066000,서교동,1144012100201590001,1144012100101590001011730,126.923599454067,37.5572017356505
강남구,1168052100,논현1동,1168010800200010003,1168010800100010003000001,127.02063474001801,37.5161838031466
종로구,1111053000,사직동,1111012000201630000,1111012000101630000031927,126.974868861844,37.5697229770514
영등포구,1156060500,문래동,1156012100200550005,1156012100100550005037427,126.89647871302,37.517449781640394
마포구,1144060000,대흥동,1144011100200630014,1144011100100630014007662,126.937543279963,37.552426380667
강서구,1150054000,화곡1동,1150010300203430001,1150010300103430001000001,126.846035970796,37.532285335238704
송파구,1171056200,방이2동,1171011100201800008,1171011100101800009016937,127.11631677592301,37.5157850739286
동대문구,1123074000,이문1동,1123011000203050060,1123011000103050060003582,127.061378960488,37.5957258221365
송파구,1171062000,가락본동,1171010700200790000,1171010700100790000007502,127.121533304074,37.4944057821458
강남구,1168058000,삼성1동,1168010500201590000,1168010500101590000017116,127.057100286394,37.5129393969289
은평구,1138057000,대조동,1138010600201980010,1138010600101980010000001,126.92010980759501,37.617800446052705
종로구,1111061500,종로1.2.3.4가동,1111012300200330000,1111012300100330000015314,126.982159843769,37.5696599190406
서대문구,1141058500,신촌동,1141011400201340000,1141011300100540000024276,126.94291681751601,37.5638006863037
영등포구,1156054000,여의동,1156011000200150015,1156011000100150015031131,126.92021918816499,37.527905068142
동작구,1159068000,신대방2동,1159010900203950066,1159010900103950066001707,126.92335679189101,37.491423339167795
강남구,1168060000,대치1동,1168010600210240000,1168010600110240000014252,127.055213389641,37.496615204091
서초구,1165053100,서초4동,1165010800213180008,1165010800113180008019994,127.02682889654498,37.4982589797032
서대문구,1141058500,신촌동,1141011300201150000,1141011300101150000000001,126.946321109963,37.5664080915476
서대문구,1141058500,신촌동,1141011600200200041,1141011600100200041030808,126.93927795426599,37.5561993158556
중구,1114052000,소공동,1114016800200010170,1114016800100010170022326,126.969202890528,37.5635826036441
서대문구,1141058500,신촌동,1141011200200110001,1141011000100011612026014,126.95030147676901,37.5642810556138
강남구,1168058000,삼성1동,1168010500200530000,1168010500100530004014720,127.05143962260401,37.518687851269
서초구,1165051000,서초1동,1165010800214390014,1165010800114390014000001,127.021572760891,37.4859161526789
강남구,1168056500,청담동,1168010400200840003,1168010400100840003017382,127.040513119755,37.5265378643378
송파구,1171060000,석촌동,1171010500202860009,1171010500102860009009809,127.10601340660801,37.5042460725183
서대문구,1141070000,남가좌2동,1141012000203440001,1141012000103440001005100,126.92232239793002,37.578283364060795
성북구,1129072500,월곡2동,1129013600200460073,1129013600100460073000001,127.040441763055,37.6018196933437
용산구,1117068500,한남동,1117013100206570104,1117013100106570104006231,127.00563260758001,37.533412670302795
강서구,1150053500,등촌3동,1150010200206680009,1150010200106680009025255,126.844334259983,37.5582364999702
강남구,1168064000,역삼1동,1168010100208300069,1168010100108300071028075,127.03300049334801,37.494128761553
중구,1114052000,소공동,1114017000200680000,1114017000100680000022124,126.968622139719,37.56711862235971
관악구,1162063000,남현동,1162010300210600010,1162010300110600010022734,126.98100003205201,37.476049031304896
성북구,1129060000,안암동,1129012500200920000,1129012500100920000000001,127.030747660126,37.586098403696106
영등포구,1156060500,문래동,1156012100200770001,1156012100100770001000001,126.889681386224,37.519656701052206
광진구,1121586000,구의2동,1121510300200670007,1121510300100670007000001,127.087179393284,37.545298278221104
서초구,1165052000,서초2동,1165010800213270005,1165010800113270006022451,127.027735014225,37.4955362431632
강남구,1168053100,논현2동,1168010800202410007,1168010800102410007006090,127.041239849867,37.51660515603879
관악구,1162069500,신림동,1162010200214320071,1162010200114320077012598,126.929154905595,37.4860877636316
관악구,1162059500,청룡동,1162010100208690001,1162010100108690001035236,126.95131919862499,37.4811055353469
광진구,1121581000,광장동,1121510400205820000,1121510400104270000022855,127.099644411941,37.542952126691105
강서구,1150060500,가양3동,1150010400204490019,1150010400104490019009474,126.861799100259,37.5581809080942
서대문구,1141058500,신촌동,1141011600200130019,1141011600100130019022441,126.938123543095,37.557792789787705
중구,1114061500,신당동,1114016300201320000,1114016300101320000009800,127.01433114617399,37.56539165332121
강남구,1168060000,대치1동,1168010600205070000,1168010600105070000014410,127.06190405786,37.4933436201599
광진구,1121584000,자양3동,1121510500202270342,1121510500102270342000002,127.070902015585,37.538350363970004
중구,1114055000,명동,1114012600200480002,1114012600100480002000001,126.984532402493,37.5641659751905
