X.1,id,X,Y,구,동,예측,대여,반납
1,225007,952800,1952899,종로구,사직동,49.64606423,24.0280434,25.61802083
2,225008,952800,1952849,종로구,사직동,49.08701723,24.01374661,25.07327063
3,225004,952800,1953049,종로구,사직동,35.87948468,16.89537448,18.9841102
4,225637,952850,1953049,종로구,사직동,36.46961512,18.52481658,17.94479854
5,225640,952850,1952899,종로구,사직동,52.74654389,23.13548784,29.61105606
6,226273,952900,1952899,종로구,사직동,55.93336148,28.7449431,27.18841837
7,226905,952950,1952949,종로구,사직동,51.72907847,24.72145155,27.00762692
8,227537,953000,1952999,종로구,사직동,62.16312118,29.41599289,32.74712829
9,228169,953050,1953049,종로구,사직동,57.80209678,28.91910019,28.88299659
10,228802,953100,1953049,종로구,사직동,53.33211488,26.98160407,26.35051081
11,229434,953150,1953099,종로구,사직동,58.40854778,29.42720359,28.98134419
12,230067,953200,1953099,종로구,사직동,80.37676752,38.67335876,41.70340876
13,231959,953350,1953449,종로구,사직동,75.32150106,37.32344271,37.99805834
14,231960,953350,1953399,종로구,사직동,76.53205867,39.22966202,37.30239664
15,231961,953350,1953349,종로구,사직동,85.92861668,40.41490573,45.51371095
16,231962,953350,1953299,종로구,사직동,89.53239849,41.42063744,48.11176105
17,232595,953400,1953299,종로구,사직동,86.97145063,41.64261789,45.32883274
18,232596,953400,1953249,종로구,사직동,80.09172887,42.30962395,37.78210492
19,233231,953450,1953149,종로구,사직동,86.13485531,44.370142,41.76471331
20,234493,953550,1953349,종로구,청운효자동,84.41423573,39.21513707,45.19909865
21,234494,953550,1953299,종로구,청운효자동,85.08714978,41.01719303,44.06995676
22,234495,953550,1953249,종로구,청운효자동,91.52258295,43.44821506,48.07436789
23,234496,953550,1953199,종로구,청운효자동,90.06572816,41.81915888,48.24656928
24,234497,953550,1953149,종로구,청운효자동,99.47015851,44.64859493,54.82156358
25,230700,953250,1953099,종로구,사직동,87.53755105,44.45171297,43.08583808
26,232597,953400,1953199,종로구,사직동,83.87353634,42.55129695,41.32223938
27,233232,953450,1953099,종로구,사직동,92.18680281,46.55198887,45.63481394
28,233865,953500,1953099,종로구,사직동,96.51641769,49.71179772,46.80461997
29,229435,953150,1953049,종로구,사직동,63.72184156,30.49737684,33.22446471
30,230069,953200,1952999,종로구,사직동,68.42966175,33.89228679,34.53737496
31,230082,953200,1952349,종로구,사직동,65.34219204,32.72901421,32.61317783
32,230083,953200,1952299,종로구,사직동,69.61959338,35.36682686,34.25276652
33,230084,953200,1952249,종로구,사직동,75.23489694,38.22022808,37.01466886
34,230703,953250,1952949,종로구,사직동,67.06238634,32.77191747,34.29046887
35,230715,953250,1952349,종로구,사직동,73.5867526,35.99895346,37.58779914
36,230716,953250,1952299,종로구,사직동,69.54231941,34.29073867,35.25158074
37,231336,953300,1952949,종로구,사직동,70.70394202,35.79603258,34.90790944
38,231348,953300,1952349,종로구,사직동,67.60267783,34.96880405,32.63387379
39,231980,953350,1952399,종로구,사직동,67.86794261,34.37541888,33.49252373
40,232612,953400,1952449,종로구,사직동,66.59263,33.33515023,33.25747977
41,233245,953450,1952449,종로구,사직동,72.48130856,37.41902364,35.06228492
42,233246,953450,1952399,종로구,사직동,70.60180134,34.68101575,35.92078559
43,233878,953500,1952449,종로구,사직동,68.68491382,34.1330974,34.55181642
44,235133,953600,1952999,종로구,사직동,85.51804459,43.91629051,41.60175408
45,235134,953600,1952949,종로구,사직동,82.36422206,43.21141807,39.15280399
46,235144,953600,1952449,종로구,사직동,69.66361174,34.30793544,35.3556763
47,235145,953600,1952399,종로구,사직동,72.54184018,34.07394771,38.46789247
48,235773,953650,1952649,종로구,사직동,80.41587968,42.95031606,37.46556362
49,235776,953650,1952499,종로구,사직동,69.55465405,33.04045028,36.51420378
50,235777,953650,1952449,종로구,사직동,68.99447434,33.72542842,35.26904593
51,236401,953700,1952899,종로구,사직동,87.81595302,45.20743437,42.60851865
52,236407,953700,1952599,종로구,사직동,118.9924038,64.97682784,54.01557595
53,236410,953700,1952449,종로구,사직동,70.06204727,34.96030587,35.10174141
54,237032,953750,1952999,종로구,사직동,85.07985373,38.48474231,46.59511142
55,237033,953750,1952949,종로구,사직동,87.02496086,49.01630805,38.00865282
56,237034,953750,1952899,종로구,사직동,80.7981186,39.80404381,40.99407479
57,237035,953750,1952849,종로구,사직동,86.16606719,45.78860973,40.37745745
58,237036,953750,1952799,종로구,사직동,86.87062107,46.72219015,40.14843092
59,237037,953750,1952749,종로구,사직동,80.57890434,42.25399821,38.32490613
60,237038,953750,1952699,종로구,사직동,77.67902401,40.91429119,36.76473282
61,237039,953750,1952649,종로구,사직동,74.13636046,41.36629391,32.77006655
